feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	PC_combined	MS2	0.927020179056786	0.108635020686188	77	77	3.1807966957308e-10	1.83911204663246e-07
k__Viruses.g__Bacilladnavirus	PC_combined	MS2	0.926329070912714	0.109642658368864	77	62	3.96487980726734e-10	1.83911204663246e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Thermincola	PC_combined	MS2	0.760298900750411	0.0916521481605374	77	77	5.75621923828626e-10	1.83911204663246e-07
k__Bacteria.p__Bacteroidetes.c__Sphingobacteriia.o__Sphingobacteriales.f__Sphingobacteriaceae.g__Solitalea	PC_combined	MS2	0.755250681699461	0.0901161968105775	77	46	4.48053902379887e-10	1.83911204663246e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Pseudophaeobacter	PC_combined	MS2	0.764537855200657	0.094652094169089	77	18	1.0959999399533e-09	2.00098274751474e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Wolinella	PC_combined	MS2	0.762056714432248	0.0942227099759696	77	77	1.06249380672753e-09	2.00098274751474e-07
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus	PC_combined	MS2	0.761248215176569	0.094141493741838	77	77	1.06757395426717e-09	2.00098274751474e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halolactibacillus	PC_combined	MS2	0.761982409647467	0.0954966130575811	77	77	1.84405923310208e-09	2.94588462488057e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Alkalilimnicola	PC_combined	MS2	0.707702673759246	0.0861544306832478	77	76	3.17751231433272e-09	4.11861254060427e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Tatlockia	PC_combined	MS2	0.718967480400567	0.0866288193020334	77	77	3.2227015184697e-09	4.11861254060427e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus	PC_combined	MS2	0.760381055025503	0.0985197550425661	77	72	4.08730013177208e-09	4.74869960764065e-07
k__Archaea.p__Euryarchaeota.g__Aciduliprofundum	PC_combined	MS2	1.09085331937483	0.143170719861645	77	75	5.15305094852451e-09	5.48799926017861e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Balneatrix	PC_combined	MS2	0.722265713165405	0.0860189687554663	77	77	5.8252886838469e-09	5.72670687535102e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylomarinum	PC_combined	MS2	0.727393656184101	0.0859759133096796	77	77	9.50256988628347e-09	7.96038625805801e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Sulfuricurvum	PC_combined	MS2	0.732048642068071	0.0873589259731122	77	76	1.05889332071194e-08	7.96038625805801e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Candidatus_Methylopumilus	PC_combined	MS2	0.943410236191175	0.12735439204837	77	77	9.18286420029794e-09	7.96038625805801e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Nisaea	PC_combined	MS2	0.944616171985049	0.128081478392947	77	77	1.01268600623377e-08	7.96038625805801e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Streptomonospora	PC_combined	MS2	0.669826943572118	0.0924680223206153	77	77	1.40607903262368e-08	8.56586263574892e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halanaeroarchaeum	PC_combined	MS2	0.759489705655852	0.104773898596587	77	77	1.36649758744348e-08	8.56586263574892e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Cellvibrionales.f__Cellvibrionaceae.g__Marinagarivorans	PC_combined	MS2	0.732527780512255	0.0871953898351509	77	11	1.38774979450641e-08	8.56586263574892e-07
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter	PC_combined	MS2	0.943240493774711	0.129244420277504	77	77	1.40753611385546e-08	8.56586263574892e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	PC_combined	MS2	1.08082848207107	0.127271612041724	77	59	1.91035545571942e-08	1.10974285109519e-06
k__Bacteria.o__Haloplasmatales.f__Haloplasmataceae.g__Haloplasma	PC_combined	MS2	0.759453995622969	0.106378262011324	77	77	2.13636601278414e-08	1.18707641927745e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Yokenella	PC_combined	MS2	0.762595059223823	0.108054955656228	77	77	2.73185477118851e-08	1.45471266565788e-06
k__Viruses.f__Mimiviridae.g__Mimivirus	PC_combined	MS2	0.649661254205405	0.0954632761378352	77	77	5.51744639070483e-08	2.3825969921563e-06
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Stanieria	PC_combined	MS2	0.649704471137269	0.0953357928955505	77	75	5.27235681244354e-08	2.3825969921563e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia	PC_combined	MS2	0.730152192958157	0.0912375533278144	77	77	5.31548888966962e-08	2.3825969921563e-06
