feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	Likely_combined	MS2	1.05349481098436	0.123391254136829	77	59	4.50880781867086e-10	5.76225639226135e-07
k__Viruses.f__Poxviridae.g__Parapoxvirus	Likely_combined	MS2	0.657604771662145	0.0966933123093979	77	77	6.94839074688999e-08	1.01084990431364e-06
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Likely_combined	MS2	0.655014030458207	0.0965742983539405	77	77	7.35631182412046e-08	1.01084990431364e-06
k__Viruses.f__Circoviridae.g__Gyrovirus	Likely_combined	MS2	0.654358915551075	0.0969640364050417	77	77	8.14691237435879e-08	1.01084990431364e-06
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Likely_combined	MS2	0.657365878275671	0.097374684269375	77	77	8.07089443624876e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Likely_combined	MS2	0.655290604319389	0.0969114632251281	77	77	7.82534596611259e-08	1.01084990431364e-06
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Likely_combined	MS2	0.65976556233371	0.0956922951712697	77	76	5.24425028418546e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Likely_combined	MS2	0.657693976333644	0.0965601430906202	77	77	6.73746501445045e-08	1.01084990431364e-06
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Likely_combined	MS2	0.654992551134287	0.0966682443523259	77	77	7.50767762937996e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Likely_combined	MS2	0.655278784926159	0.0965743317193361	77	77	7.29495345686427e-08	1.01084990431364e-06
k__Viruses.f__Closteroviridae.g__Closterovirus	Likely_combined	MS2	0.653683980034828	0.0951901855703876	77	55	5.72022011129102e-08	1.01084990431364e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Likely_combined	MS2	0.654422474097727	0.096729539192885	77	77	7.74315641316039e-08	1.01084990431364e-06
k__Viruses.f__Poxviridae.g__Avipoxvirus	Likely_combined	MS2	0.655560015920196	0.0928015377800288	77	28	3.17772473358479e-08	1.01084990431364e-06
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Likely_combined	MS2	0.898566727313462	0.11430701850392	77	77	2.4852838180914e-09	1.01084990431364e-06
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	Likely_combined	MS2	0.655166201830647	0.0968240454054637	77	77	7.71449007303539e-08	1.01084990431364e-06
k__Viruses.g__Bacilladnavirus	Likely_combined	MS2	0.898884887448658	0.115320425526865	77	62	4.19430343909671e-09	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Likely_combined	MS2	0.656631044339503	0.0961890013358852	77	77	6.44351892757644e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Cp220likevirus	Likely_combined	MS2	0.65151356775589	0.0957163252836292	77	75	6.86139739032133e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Likely_combined	MS2	0.649629188931236	0.0948307612627734	77	77	6.03172008045257e-08	1.01084990431364e-06
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Likely_combined	MS2	0.655024267937357	0.0968839091819468	77	77	7.84637665893881e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Likely_combined	MS2	0.655063551369267	0.0967995603902143	77	77	7.70032251437162e-08	1.01084990431364e-06
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Likely_combined	MS2	0.654905143460855	0.0969629679593085	77	77	8.03758178494273e-08	1.01084990431364e-06
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Likely_combined	MS2	0.65570203588569	0.0971004463072292	77	77	8.03475816650324e-08	1.01084990431364e-06
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Likely_combined	MS2	0.655087486282516	0.0969550150571447	77	77	7.9476107005953e-08	1.01084990431364e-06
k__Viruses.f__Bromoviridae.g__Alfamovirus	Likely_combined	MS2	0.655043469512675	0.0968253100780749	77	77	7.74655989184236e-08	1.01084990431364e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Likely_combined	MS2	0.653255897056039	0.0957461841810743	77	77	6.53089736470675e-08	1.01084990431364e-06
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Likely_combined	MS2	0.65494103379578	0.0967987925699626	77	77	7.72836600589231e-08	1.01084990431364e-06
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Likely_combined	MS2	0.654943346307243	0.0968613532357895	77	77	7.82930243999177e-08	1.01084990431364e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Likely_combined	MS2	0.654469858638233	0.0967135639434175	77	77	7.70555560792287e-08	1.01084990431364e-06
k__Viruses.g__Polemovirus	Likely_combined	MS2	0.65507928009547	0.0969660464071064	77	77	7.96776106002999e-08	1.01084990431364e-06
k__Viruses.f__Bromoviridae.g__Ilarvirus	Likely_combined	MS2	0.654961704718402	0.0968019204127613	77	77	7.72823643253608e-08	1.01084990431364e-06
k__Viruses.f__Narnaviridae.g__Narnavirus	Likely_combined	MS2	0.656375522216396	0.0970352634520438	77	77	7.75947565197739e-08	1.01084990431364e-06
k__Viruses.f__Totiviridae.g__Totivirus	Likely_combined	MS2	0.655029357589306	0.0968913270766726	77	77	7.85701470506143e-08	1.01084990431364e-06
k__Viruses.f__Potyviridae.g__Tritimovirus	Likely_combined	MS2	0.655048461109533	0.0968961434289372	77	77	7.85983107463283e-08	1.01084990431364e-06
