feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.f__Poxviridae.g__Parapoxvirus	Putative_combined	MS2	0.690750162019281	0.0948429202384854	77	77	1.39843141806888e-08	2.43920414928897e-07
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Putative_combined	MS2	0.689444431123362	0.0949811731754547	77	77	1.50478493603852e-08	2.43920414928897e-07
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Putative_combined	MS2	0.691288262179772	0.095480829056311	77	77	1.59091564125526e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Putative_combined	MS2	0.689892442672146	0.0952589777753855	77	77	1.58048085792702e-08	2.43920414928897e-07
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Putative_combined	MS2	0.690632490982588	0.0937353751794417	77	76	1.08508585419826e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Putative_combined	MS2	0.690658207184218	0.0947141756998666	77	77	1.3615177284819e-08	2.43920414928897e-07
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Putative_combined	MS2	0.689522753096606	0.0950680904407954	77	77	1.53067929614765e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Putative_combined	MS2	0.689570856669927	0.0949561886086932	77	77	1.48972913958715e-08	2.43920414928897e-07
k__Viruses.f__Closteroviridae.g__Closterovirus	Putative_combined	MS2	0.687460405592686	0.0938581959955258	77	55	1.23549718228186e-08	2.43920414928897e-07
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Putative_combined	MS2	0.689304480859448	0.0951775729584622	77	77	1.58029488468629e-08	2.43920414928897e-07
k__Viruses.f__Poxviridae.g__Avipoxvirus	Putative_combined	MS2	0.68563952559999	0.0915163923957145	77	28	7.4945880605354e-09	2.43920414928897e-07
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Putative_combined	MS2	0.850371929431379	0.11525410255438	77	77	1.04421463430308e-08	2.43920414928897e-07
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	Putative_combined	MS2	0.689749062826214	0.095191539851299	77	77	1.56330947055597e-08	2.43920414928897e-07
k__Viruses.g__Bacilladnavirus	Putative_combined	MS2	0.851125967165346	0.116111761415289	77	62	1.20570395235874e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Putative_combined	MS2	0.689824639129722	0.0944782065103298	77	77	1.32376513484707e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Putative_combined	MS2	0.687891426264411	0.0937252763477358	77	77	1.26128102043503e-08	2.43920414928897e-07
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Putative_combined	MS2	0.689738491868795	0.0952592062505948	77	77	1.58927181654708e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Putative_combined	MS2	0.689678664321348	0.0951783293826072	77	77	1.56271641057585e-08	2.43920414928897e-07
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Putative_combined	MS2	0.689771004211007	0.0953193844615805	77	77	1.60846461966954e-08	2.43920414928897e-07
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Putative_combined	MS2	0.690262581488229	0.0953897911095321	77	77	1.60940112104049e-08	2.43920414928897e-07
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Putative_combined	MS2	0.689834560552333	0.0953173250479107	77	77	1.60572354634206e-08	2.43920414928897e-07
k__Viruses.f__Bromoviridae.g__Alfamovirus	Putative_combined	MS2	0.689694312508969	0.0952056369506804	77	77	1.5712620946664e-08	2.43920414928897e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Putative_combined	MS2	0.687804927414219	0.0944015110939475	77	77	1.44974633109151e-08	2.43920414928897e-07
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Putative_combined	MS2	0.68961967925335	0.0951906032349763	77	77	1.5693668415189e-08	2.43920414928897e-07
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Putative_combined	MS2	0.6896785512765	0.0952467176769267	77	77	1.58660470387571e-08	2.43920414928897e-07
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Putative_combined	MS2	0.689313943367755	0.0951588664002289	77	77	1.57759861088472e-08	2.43920414928897e-07
k__Viruses.g__Polemovirus	Putative_combined	MS2	0.689841853931959	0.0953289107627919	77	77	1.61601837144631e-08	2.43920414928897e-07
k__Viruses.f__Bromoviridae.g__Ilarvirus	Putative_combined	MS2	0.689632837242668	0.0951913865941486	77	77	1.57008982695882e-08	2.43920414928897e-07
k__Viruses.f__Narnaviridae.g__Narnavirus	Putative_combined	MS2	0.690516075329481	0.0952674063230639	77	77	1.55258143836803e-08	2.43920414928897e-07
k__Viruses.f__Totiviridae.g__Totivirus	Putative_combined	MS2	0.689748942613156	0.0952670495962652	77	77	1.59074475109643e-08	2.43920414928897e-07
k__Viruses.f__Potyviridae.g__Tritimovirus	Putative_combined	MS2	0.689762781729273	0.0952685554036319	77	77	1.5903081584338e-08	2.43920414928897e-07
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus	Putative_combined	MS2	0.689692040072874	0.0952216767841372	77	77	1.57691623253785e-08	2.43920414928897e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Siccibacter	Putative_combined	MS2	0.685428594662554	0.0920497648689845	77	77	8.58773623537947e-09	2.43920414928897e-07
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanomethylophilus	Putative_combined	MS2	0.688707746829355	0.0944199161159249	77	77	1.35307283647997e-08	2.43920414928897e-07
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Nitritalea	Putative_combined	MS2	0.684353473890102	0.0920766238488141	77	77	9.41987873129944e-09	2.43920414928897e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Putative_combined	MS2	0.686855001428699	0.0938715782046105	77	77	1.26734969373761e-08	2.43920414928897e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Natronomonas	Putative_combined	MS2	0.692756389147152	0.0957696622693027	77	77	1.62231887863508e-08	2.43920414928897e-07
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Putative_combined	MS2	0.686759800577464	0.0937246643604016	77	77	1.22504327187568e-08	2.43920414928897e-07
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Putative_combined	MS2	0.687383341745398	0.09295923938595	77	77	1.0022793225846e-08	2.43920414928897e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Putative_combined	MS2	0.687655607927737	0.0933245420002873	77	77	1.08329078887191e-08	2.43920414928897e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Putative_combined	MS2	0.688981541177138	0.0935265395166727	77	77	1.0889568349514e-08	2.43920414928897e-07
