feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	PC_combined	MS2	0.543288353993724	0.0815561124838092	77	75	8.47965161773334e-08	1.62424413107225e-06
k__Viruses.f__Poxviridae.g__Parapoxvirus	PC_combined	MS2	0.539516799573847	0.083370331315824	77	4	1.45783456016821e-07	1.62424413107225e-06
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	PC_combined	MS2	0.541319276523118	0.083445588038378	77	13	1.40405928945873e-07	1.62424413107225e-06
k__Viruses.f__Circoviridae.g__Gyrovirus	PC_combined	MS2	0.541887749389921	0.0837737321084805	77	62	1.4932714244154e-07	1.62424413107225e-06
k__Viruses.f__Caulimoviridae.g__Badnavirus	PC_combined	MS2	0.541286979237974	0.083543008137267	77	66	1.43853291978811e-07	1.62424413107225e-06
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	PC_combined	MS2	0.540035731341586	0.0839197655575397	77	74	1.63379668615949e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	PC_combined	MS2	0.541286854986176	0.0836904173863472	77	76	1.48931813259445e-07	1.62424413107225e-06
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	PC_combined	MS2	0.54218736687764	0.0833099754745795	77	67	1.32752616259928e-07	1.62424413107225e-06
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	PC_combined	MS2	0.539949937188887	0.0823856719025259	77	2	1.12374575858904e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	PC_combined	MS2	0.541277038187208	0.0839812433341353	77	76	1.59549558763843e-07	1.62424413107225e-06
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	PC_combined	MS2	0.54137339991736	0.0837515099671682	77	77	1.50732366092734e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	PC_combined	MS2	0.539370516960246	0.0832599510501586	77	75	1.42672868037185e-07	1.62424413107225e-06
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	PC_combined	MS2	0.542756222664047	0.0826053149871376	77	77	1.10592704606106e-07	1.62424413107225e-06
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	PC_combined	MS2	0.541373333894861	0.0835185523184158	77	54	1.42637802615399e-07	1.62424413107225e-06
k__Viruses.g__Pithovirus	PC_combined	MS2	0.542370787058148	0.08316880011706	77	69	1.27746208877923e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	PC_combined	MS2	0.541148053017794	0.0834325159124693	77	77	1.40660847483132e-07	1.62424413107225e-06
k__Viruses.f__Reoviridae.g__Cypovirus	PC_combined	MS2	0.542282950442018	0.0833090007478479	77	27	1.32370845839899e-07	1.62424413107225e-06
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	PC_combined	MS2	0.542176431123812	0.0826426221506304	77	46	1.13261541198749e-07	1.62424413107225e-06
k__Viruses.f__Closteroviridae.g__Closterovirus	PC_combined	MS2	0.541537471840462	0.0824584504703138	77	1	1.10199634751484e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	PC_combined	MS2	0.53996106915237	0.0828855578316488	77	14	1.27860085314147e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	PC_combined	MS2	0.541973018873246	0.0834629812636797	77	76	1.38440813166395e-07	1.62424413107225e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	PC_combined	MS2	0.541756366597957	0.0835901372576355	77	75	1.43509022708716e-07	1.62424413107225e-06
k__Viruses.f__Retroviridae.g__Lentivirus	PC_combined	MS2	0.542656133352144	0.083020048510862	77	77	1.22402771646784e-07	1.62424413107225e-06
k__Viruses.f__Luteoviridae.g__Polerovirus	PC_combined	MS2	0.541504851132912	0.0837102810123147	77	75	1.48698180111509e-07	1.62424413107225e-06
k__Viruses.f__Geminiviridae.g__Begomovirus	PC_combined	MS2	0.541254927524133	0.083551302037523	77	72	1.44219330410905e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	PC_combined	MS2	0.54179127010568	0.0828131661819834	77	65	1.19187015368885e-07	1.62424413107225e-06
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	PC_combined	MS2	0.538857185361174	0.0833123195052637	77	72	1.47004396459867e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Twortlikevirus	PC_combined	MS2	0.542064192568209	0.0835986804438673	77	75	1.42601736336573e-07	1.62424413107225e-06
k__Viruses.o__Picornavirales.f__Secoviridae.g__Cheravirus	PC_combined	MS2	0.542475454428722	0.0836878644982767	77	67	1.4402485002426e-07	1.62424413107225e-06
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus	PC_combined	MS2	0.541898036971825	0.0834313927649687	77	77	1.37694409537497e-07	1.62424413107225e-06
k__Viruses.f__Closteroviridae.g__Ampelovirus	PC_combined	MS2	0.541139217897372	0.083212249968488	77	77	1.3350352974634e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phietalikevirus	PC_combined	MS2	0.541174500902965	0.0838788927148301	77	77	1.56219461543337e-07	1.62424413107225e-06
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	PC_combined	MS2	0.542631045497067	0.0822060998718221	77	75	1.00801567753401e-07	1.62424413107225e-06
k__Viruses.f__Bunyaviridae.g__Hantavirus	PC_combined	MS2	0.54331521349731	0.083783212560213	77	34	1.44088879932985e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi21dtunalikevirus	PC_combined	MS2	0.540760847798948	0.0840233291785337	77	77	1.63636690835963e-07	1.62424413107225e-06
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	PC_combined	MS2	0.541326314586085	0.0836291789600475	77	77	1.46630620136327e-07	1.62424413107225e-06
k__Viruses.f__Virgaviridae.g__Pecluvirus	PC_combined	MS2	0.542539007953686	0.0842459697156632	77	61	1.63844397888929e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	PC_combined	MS2	0.540022760655951	0.0830561478843695	77	77	1.32974326366237e-07	1.62424413107225e-06
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Marafivirus	PC_combined	MS2	0.54112820893285	0.082822637676898	77	12	1.21655277935352e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	PC_combined	MS2	0.543388040833698	0.0822777344327103	77	77	1.00656027391257e-07	1.62424413107225e-06
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	PC_combined	MS2	0.541445123212067	0.0836820771531186	77	77	1.47966210192829e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	PC_combined	MS2	0.541384285438842	0.083614655424554	77	77	1.45875936643572e-07	1.62424413107225e-06
k__Viruses.f__Tectiviridae.g__Tectivirus	PC_combined	MS2	0.541424249452866	0.0838010331946137	77	76	1.52283305748234e-07	1.62424413107225e-06
k__Viruses.f__Caulimoviridae.g__Cavemovirus	PC_combined	MS2	0.541504823586916	0.0837314917224488	77	77	1.49446080113706e-07	1.62424413107225e-06
k__Viruses.f__Anelloviridae.g__Betatorquevirus	PC_combined	MS2	0.541098892883439	0.0838143432381999	77	76	1.54201892816064e-07	1.62424413107225e-06
k__Viruses.f__Caulimoviridae.g__Caulimovirus	PC_combined	MS2	0.541437729094779	0.0837338195606009	77	77	1.49815252927709e-07	1.62424413107225e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus	PC_combined	MS2	0.541690321412874	0.0835197388024528	77	77	1.4141072827005e-07	1.62424413107225e-06
k__Viruses.f__Reoviridae.g__Phytoreovirus	PC_combined	MS2	0.540761878124589	0.0838373987682513	77	76	1.56585244950659e-07	1.62424413107225e-06
k__Viruses.f__Bromoviridae.g__Alfamovirus	PC_combined	MS2	0.541409727571094	0.0836356871731014	77	77	1.4649614358203e-07	1.62424413107225e-06
