feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Likely_combined	MS2	0.57440327820408	0.0651902377620319	77	75	2.35307836327663e-10	6.5418802856401e-09
k__Viruses.f__Poxviridae.g__Parapoxvirus	Likely_combined	MS2	0.571668772414539	0.067864477126099	77	4	6.21834080031608e-10	6.5418802856401e-09
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Likely_combined	MS2	0.5733346594364	0.0678723659110476	77	13	6.00744790025806e-10	6.5418802856401e-09
k__Viruses.f__Circoviridae.g__Gyrovirus	Likely_combined	MS2	0.573941952873127	0.0682934814211415	77	62	6.85320172202865e-10	6.5418802856401e-09
k__Viruses.f__Caulimoviridae.g__Badnavirus	Likely_combined	MS2	0.57335260949785	0.0680056440985046	77	66	6.2821837290591e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Likely_combined	MS2	0.57337346511147	0.0682096024258586	77	76	6.72670217741398e-10	6.5418802856401e-09
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Likely_combined	MS2	0.574068788398666	0.0676422053446471	77	67	5.49751870352105e-10	6.5418802856401e-09
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Likely_combined	MS2	0.567801037067373	0.066606371872441	77	2	4.65658145711504e-10	6.5418802856401e-09
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Likely_combined	MS2	0.573481100501345	0.0682882504477671	77	77	6.89288331926068e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Likely_combined	MS2	0.571518258337653	0.0677200583436602	77	75	5.94192053073429e-10	6.5418802856401e-09
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Likely_combined	MS2	0.574343503957127	0.0666488936459659	77	77	3.90710903186625e-10	6.5418802856401e-09
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Likely_combined	MS2	0.573403757158228	0.0679696322673834	77	54	6.20091834120257e-10	6.5418802856401e-09
k__Viruses.g__Pithovirus	Likely_combined	MS2	0.574186514239532	0.0674405855898641	77	69	5.1271139547371e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Likely_combined	MS2	0.573173730495128	0.0678633186837339	77	77	6.00642102059903e-10	6.5418802856401e-09
k__Viruses.f__Reoviridae.g__Cypovirus	Likely_combined	MS2	0.574148786533904	0.0676368882473726	77	27	5.48140639117911e-10	6.5418802856401e-09
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Likely_combined	MS2	0.573844476102672	0.0667279961194254	77	46	4.0378108743827e-10	6.5418802856401e-09
k__Viruses.f__Closteroviridae.g__Closterovirus	Likely_combined	MS2	0.573219343136015	0.0665052778572946	77	1	3.7670268680322e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Likely_combined	MS2	0.571926794388812	0.0671739466070865	77	14	4.8653235578752e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Likely_combined	MS2	0.57392334463553	0.0678629577337825	77	76	5.93350216563391e-10	6.5418802856401e-09
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Likely_combined	MS2	0.573762061885427	0.0680490700177485	77	75	6.3322694381704e-10	6.5418802856401e-09
k__Viruses.f__Retroviridae.g__Lentivirus	Likely_combined	MS2	0.574395296448316	0.0672221351308974	77	77	4.74874800217498e-10	6.5418802856401e-09
k__Viruses.f__Luteoviridae.g__Polerovirus	Likely_combined	MS2	0.573573403552077	0.0682259457837044	77	75	6.74054336658988e-10	6.5418802856401e-09
k__Viruses.f__Geminiviridae.g__Begomovirus	Likely_combined	MS2	0.573299700524556	0.0680220782428099	77	72	6.32289101144205e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Likely_combined	MS2	0.573560339402959	0.0669807932914694	77	65	4.41911929961541e-10	6.5418802856401e-09
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	Likely_combined	MS2	0.570999903613838	0.0678241263233791	77	72	6.2663948243128e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Myoviridae.g__Twortlikevirus	Likely_combined	MS2	0.574047915588385	0.0680446746838512	77	75	6.29629345856587e-10	6.5418802856401e-09
k__Viruses.o__Picornavirales.f__Secoviridae.g__Cheravirus	Likely_combined	MS2	0.574435596668966	0.0681465113360196	77	67	6.48043448879227e-10	6.5418802856401e-09
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus	Likely_combined	MS2	0.573849440896572	0.0678234999730026	77	77	5.86164372137001e-10	6.5418802856401e-09
k__Viruses.f__Closteroviridae.g__Ampelovirus	Likely_combined	MS2	0.573094898182123	0.0675613988134537	77	77	5.4283945421341e-10	6.5418802856401e-09
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Likely_combined	MS2	0.574094560986217	0.0661074550792125	77	75	3.24868282594371e-10	6.5418802856401e-09
k__Viruses.f__Bunyaviridae.g__Hantavirus	Likely_combined	MS2	0.575213772127725	0.0682363015978561	77	34	6.61238393343433e-10	6.5418802856401e-09
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	Likely_combined	MS2	0.573386663931233	0.0681231505398641	77	77	6.53351827018366e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Likely_combined	MS2	0.572047356105107	0.0674046936351837	77	77	5.25381773413843e-10	6.5418802856401e-09
k__Viruses.o__Tymovirales.f__Tymoviridae.g__Marafivirus	Likely_combined	MS2	0.572968831034196	0.0670276914671147	77	12	4.53135678953249e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Likely_combined	MS2	0.57477607371243	0.0661713704462187	77	77	3.30140207575766e-10	6.5418802856401e-09
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Likely_combined	MS2	0.573515437559219	0.068190032837562	77	77	6.66604575137968e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Likely_combined	MS2	0.573438141896965	0.0681011123838406	77	77	6.47880700423617e-10	6.5418802856401e-09
k__Viruses.f__Tectiviridae.g__Tectivirus	Likely_combined	MS2	0.573538126003826	0.0683535483645206	77	76	7.03901039477079e-10	6.5418802856401e-09
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Likely_combined	MS2	0.573568450239529	0.0682558089461634	77	77	6.81137190014847e-10	6.5418802856401e-09
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Likely_combined	MS2	0.573522241447188	0.0682613197836876	77	77	6.82646902321056e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus	Likely_combined	MS2	0.573689770647814	0.0679551751338862	77	77	6.14217042292574e-10	6.5418802856401e-09
k__Viruses.f__Bromoviridae.g__Alfamovirus	Likely_combined	MS2	0.573474645898969	0.0681285016990799	77	77	6.53336528683934e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Likely_combined	MS2	0.573769058813796	0.0670728653751658	77	77	4.5486948078059e-10	6.5418802856401e-09
k__Viruses.f__Sphaerolipoviridae.g__Gammasphaerolipovirus	Likely_combined	MS2	0.573539352756301	0.0682604689033962	77	76	6.82291416683574e-10	6.5418802856401e-09
k__Viruses.f__Flaviviridae.g__Pegivirus	Likely_combined	MS2	0.573531177362695	0.0681998466075087	77	77	6.68517708859718e-10	6.5418802856401e-09
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Vesiculovirus	Likely_combined	MS2	0.573806074714656	0.06808801772068	77	76	6.41135941319768e-10	6.5418802856401e-09
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Lyssavirus	Likely_combined	MS2	0.573561291828188	0.0680819375498026	77	77	6.42117874510406e-10	6.5418802856401e-09
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus	Likely_combined	MS2	0.573884322063695	0.0633955873626594	77	71	1.24509498569628e-10	6.5418802856401e-09
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Likely_combined	MS2	0.573513929448502	0.0681049020589312	77	77	6.47762777164661e-10	6.5418802856401e-09
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Likely_combined	MS2	0.573550666967718	0.0681696027848813	77	77	6.61613986892912e-10	6.5418802856401e-09
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Likely_combined	MS2	0.573719581150552	0.0680318285601582	77	77	6.30061561325977e-10	6.5418802856401e-09
k__Viruses.g__Polemovirus	Likely_combined	MS2	0.573536540963523	0.0682732786040218	77	77	6.85176866189413e-10	6.5418802856401e-09
k__Viruses.f__Leviviridae.g__Levivirus	Likely_combined	MS2	0.57373331159671	0.0679078559013252	77	77	6.04151861388978e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus	Likely_combined	MS2	0.573526270075245	0.0682124047400299	77	77	6.71725854778541e-10	6.5418802856401e-09
k__Viruses.f__Reoviridae.g__Aquareovirus	Likely_combined	MS2	0.573511094747018	0.068205406060026	77	77	6.70074808698727e-10	6.5418802856401e-09
k__Viruses.f__Bromoviridae.g__Ilarvirus	Likely_combined	MS2	0.573448539492912	0.068107647906035	77	77	6.4976482871338e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phic3unalikevirus	Likely_combined	MS2	0.573522196145501	0.0682183318991689	77	77	6.72879489449749e-10	6.5418802856401e-09
k__Viruses.f__Narnaviridae.g__Narnavirus	Likely_combined	MS2	0.572773557920392	0.0682925555103706	77	77	6.9989109473498e-10	6.5418802856401e-09
k__Viruses.f__Totiviridae.g__Totivirus	Likely_combined	MS2	0.573514012855238	0.0681981880047683	77	77	6.68516985172367e-10	6.5418802856401e-09
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Chilikevirus	Likely_combined	MS2	0.573195206113305	0.0682137344474806	77	77	6.75718994103738e-10	6.5418802856401e-09
k__Viruses.f__Potyviridae.g__Tritimovirus	Likely_combined	MS2	0.573510776754248	0.0682029106319707	77	77	6.69522498016604e-10	6.5418802856401e-09
k__Viroids.f__Pospiviroidae.g__Coleviroid	Likely_combined	MS2	0.573505118966888	0.0681627606180154	77	77	6.608879518931e-10	6.5418802856401e-09
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus	Likely_combined	MS2	0.573488271477763	0.068146530308805	77	77	6.57375204964621e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Siccibacter	Likely_combined	MS2	0.571778312778962	0.0645926362411803	77	75	1.95411183960835e-10	6.5418802856401e-09
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Neosynechococcus	Likely_combined	MS2	0.571935351642234	0.0660263684347292	77	76	3.2537468528797e-10	6.5418802856401e-09
k__Bacteria.p__Cyanobacteria.o__Nostocales.f__Nostocaceae.g__Dolichospermum	Likely_combined	MS2	0.571210097769832	0.067298424823699	77	4	5.18084506999637e-10	6.5418802856401e-09
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Altibacter	Likely_combined	MS2	0.573179663741816	0.0666888718422523	77	43	4.01821278237668e-10	6.5418802856401e-09
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanomethylophilus	Likely_combined	MS2	0.573047665060369	0.0672200380236029	77	76	4.83695830113673e-10	6.5418802856401e-09
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Nitritalea	Likely_combined	MS2	0.573288456770984	0.0643646832807557	77	75	1.77151831798683e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Likely_combined	MS2	0.573676460261447	0.0664285283437757	77	77	3.64922376532261e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea	Likely_combined	MS2	0.573525888126602	0.0621003486801349	77	71	7.80215727129339e-11	6.5418802856401e-09
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter	Likely_combined	MS2	0.573845292716118	0.0656939863269431	77	75	2.82188613528018e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Reinekea	Likely_combined	MS2	0.571749287837195	0.0603604795271289	77	77	4.54106961419469e-11	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Likely_combined	MS2	0.573533723598558	0.0662778529717544	77	70	3.46890373422725e-10	6.5418802856401e-09
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Likely_combined	MS2	0.571696874214665	0.0656512160585695	77	26	2.85995471954528e-10	6.5418802856401e-09
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Likely_combined	MS2	0.57212621016594	0.0660289030406567	77	59	3.24477000456679e-10	6.5418802856401e-09
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gaetbulibacter	Likely_combined	MS2	0.574059342640426	0.0668982487359814	77	50	4.26948321757563e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Likely_combined	MS2	0.571042147070443	0.0663582264351444	77	77	3.73705291794959e-10	6.5418802856401e-09
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus	Likely_combined	MS2	0.57143234556193	0.066691678081931	77	75	4.16037782063296e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitinibacter	Likely_combined	MS2	0.570235581029096	0.0660532462235823	77	64	3.43659893647481e-10	6.5418802856401e-09
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Myxosarcina	Likely_combined	MS2	0.574272487896495	0.0654558288743969	77	53	2.58544829214405e-10	6.5418802856401e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Gayadomonas	Likely_combined	MS2	0.571879335505933	0.0666392673447855	77	65	4.04101494806875e-10	6.5418802856401e-09
