feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Putative_combined	MS2	0.540965141743488	0.0758236408956077	77	75	2.4925957778413e-08	4.75183221858077e-07
k__Viruses.f__Poxviridae.g__Parapoxvirus	Putative_combined	MS2	0.54247408241344	0.0778896364646531	77	4	4.03656566632458e-08	4.75183221858077e-07
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Putative_combined	MS2	0.543257616272363	0.0778019055969638	77	13	3.86424424516757e-08	4.75183221858077e-07
k__Viruses.f__Circoviridae.g__Gyrovirus	Putative_combined	MS2	0.543975222304621	0.0780812578017235	77	62	4.06149011601131e-08	4.75183221858077e-07
k__Viruses.f__Caulimoviridae.g__Badnavirus	Putative_combined	MS2	0.543400587888295	0.0778991040019901	77	66	3.94379524221237e-08	4.75183221858077e-07
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Putative_combined	MS2	0.543498711466487	0.0783884140154431	77	74	4.44186064816898e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Putative_combined	MS2	0.543616481614544	0.0780469791022594	77	76	4.06727325746501e-08	4.75183221858077e-07
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Putative_combined	MS2	0.543401717663391	0.0775992795571866	77	67	3.65767190367313e-08	4.75183221858077e-07
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Putative_combined	MS2	0.539990706675604	0.077158173534854	77	2	3.59920900267603e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Putative_combined	MS2	0.544041831346167	0.078337577684645	77	76	4.32113821556166e-08	4.75183221858077e-07
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Putative_combined	MS2	0.543743478798459	0.0780999345543196	77	77	4.10694102455335e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Putative_combined	MS2	0.542252215156666	0.0777928641775417	77	75	3.96452891647445e-08	4.75183221858077e-07
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Putative_combined	MS2	0.54253176720196	0.0768686678632175	77	77	3.11563391843627e-08	4.75183221858077e-07
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Putative_combined	MS2	0.5433903751376	0.0778695960526891	77	54	3.91564720190974e-08	4.75183221858077e-07
k__Viruses.g__Pithovirus	Putative_combined	MS2	0.543278197734405	0.0774459929864415	77	69	3.53021304799113e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Putative_combined	MS2	0.543171842495225	0.0778027579048226	77	77	3.87417934663372e-08	4.75183221858077e-07
k__Viruses.f__Reoviridae.g__Cypovirus	Putative_combined	MS2	0.543435874602193	0.0775918871934571	77	27	3.64726079953306e-08	4.75183221858077e-07
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Putative_combined	MS2	0.542342789086382	0.0769453640466326	77	46	3.19443012441231e-08	4.75183221858077e-07
k__Viruses.f__Closteroviridae.g__Closterovirus	Putative_combined	MS2	0.541762774592437	0.0768131501120415	77	1	3.1404266046352e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Putative_combined	MS2	0.541850495969652	0.0773650758589354	77	14	3.60205945515179e-08	4.75183221858077e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Putative_combined	MS2	0.543544763418346	0.0777671074783886	77	76	3.7999258224712e-08	4.75183221858077e-07
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Putative_combined	MS2	0.543647499701392	0.0779105273694821	77	75	3.92764769730467e-08	4.75183221858077e-07
