feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	PC_combined	MS2	0.680029811684771	0.0892612200730598	77	77	4.32884670129875e-09	6.02231358632794e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	PC_combined	MS2	0.680136770756608	0.0916553246308144	77	77	7.87122586222717e-09	6.02231358632794e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Haloarcula	PC_combined	MS2	0.68019678472345	0.0920076318554333	77	77	8.56659116120618e-09	6.02231358632794e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Natronomonas	PC_combined	MS2	0.679670298846408	0.0909313006054351	77	77	6.6848474528156e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.g__Candidatus_Accumulibacter	PC_combined	MS2	0.822777072184466	0.109484747332834	77	77	8.45842579536877e-09	6.02231358632794e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Haloferacales.f__Haloferacaceae.g__Halobellus	PC_combined	MS2	0.67945396497672	0.0899182534548683	77	77	5.2114991575212e-09	6.02231358632794e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Dermabacteraceae.g__Helcobacillus	PC_combined	MS2	0.679854578774155	0.0888461852621635	77	77	3.90623646807096e-09	6.02231358632794e-07
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Centipeda	PC_combined	MS2	0.683138675930871	0.0885574065295411	77	77	3.85420592129154e-09	6.02231358632794e-07
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptosporangiales.f__Nocardiopsaceae.g__Allosalinactinospora	PC_combined	MS2	0.680304988642543	0.089836579615776	77	77	4.95999930254578e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Aliiroseovarius	PC_combined	MS2	0.681032170343417	0.090129902724169	77	77	5.21470864320678e-09	6.02231358632794e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halobacterium	PC_combined	MS2	0.681537838634472	0.0910991312022461	77	77	6.54239200852714e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Epsilonproteobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Wolinella	PC_combined	MS2	0.682918382729181	0.09029729415833	77	77	5.10730585340044e-09	6.02231358632794e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Halopiger	PC_combined	MS2	0.684955050206445	0.0919004329713006	77	77	7.12019983358195e-09	6.02231358632794e-07
k__Archaea.p__Thaumarchaeota.o__Nitrosopumilales.f__Nitrosopumilaceae.g__Nitrosopumilus	PC_combined	MS2	0.681596767342519	0.0903475750902986	77	77	5.40741111231718e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassomonas	PC_combined	MS2	0.679569126637406	0.0918296396933715	77	77	8.37594809880799e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylovorus	PC_combined	MS2	0.683587571681506	0.0898440993649983	77	77	4.45185563576703e-09	6.02231358632794e-07
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Roseibacterium	PC_combined	MS2	0.682287309099047	0.089452778767276	77	77	4.20745129148908e-09	6.02231358632794e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae.g__Halolactibacillus	PC_combined	MS2	0.682043087705601	0.0912718437829023	77	77	6.7154861407627e-09	6.02231358632794e-07
k__Bacteria.p__Chloroflexi.c__Ardenticatenia.o__Ardenticatenales.f__Ardenticatenaceae.g__Ardenticatena	PC_combined	MS2	0.680187269883042	0.0905046176716619	77	11	5.89867690355848e-09	6.02231358632794e-07
contaminant4RandomSpikesHarvard	PC_combined	MS2	0.681000052084058	0.0906838395120169	77	77	6.00488521686395e-09	6.02231358632794e-07
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	PC_combined	MS2	0.869950159936311	0.118038949656799	77	77	9.4069394132368e-09	6.29816991190997e-07
k__Viruses.g__Bacilladnavirus	PC_combined	MS2	0.868500709353047	0.118784293397701	77	75	1.11257119075848e-08	7.11034133730192e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__L5likevirus	PC_combined	MS2	0.68103624456312	0.093560421937078	77	75	1.21256007899566e-08	7.41243248290389e-07
k__Archaea.p__Euryarchaeota.c__Thermococci.o__Thermococcales.f__Thermococcaceae.g__Pyrococcus	PC_combined	MS2	0.680589745770752	0.0939677583441747	77	77	1.39406570265259e-08	8.16690157470645e-07
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natronorubrum	PC_combined	MS2	0.680063412252055	0.0955081811853883	77	77	2.05517090586121e-08	1.15582811745634e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Reinekea	PC_combined	MS2	0.649510774485894	0.0884524169363011	77	77	2.33951423633897e-08	1.21828037640466e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Legionellales.f__Legionellaceae.g__Tatlockia	PC_combined	MS2	0.63895732182277	0.0882144958661324	77	77	2.25492620867873e-08	1.21828037640466e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Methylococcales.f__Methylococcaceae.g__Methylomarinum	PC_combined	MS2	0.651485597152619	0.0886186217774251	77	77	2.60601216248433e-08	1.26492761202667e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Balneatrix	PC_combined	MS2	0.646852337069249	0.0886701299052275	77	77	2.60902565780749e-08	1.26492761202667e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Thalassolituus	PC_combined	MS2	0.649060544213858	0.0887312548064823	77	77	2.70319368396983e-08	1.26689677322053e-06
k__Bacteria.p__Chlorobi.c__Chlorobia.o__Chlorobiales.f__Chlorobiaceae.g__Prosthecochloris	PC_combined	MS2	0.68053529968821	0.0972307741883598	77	77	2.86658807549528e-08	1.30013639811173e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Saccharospirillum	PC_combined	MS2	0.661285351572835	0.0886242398646903	77	77	3.13282905152953e-08	1.33477504437895e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Candidatus_Methylopumilus	PC_combined	MS2	0.883042864147751	0.125861473003192	77	77	3.0900469126524e-08	1.33477504437895e-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales.f__Rhodospirillaceae.g__Nisaea	PC_combined	MS2	0.882106601444856	0.126436172037603	77	77	3.43353383133847e-08	1.41986722554762e-06
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Halobacteriales.f__Halobacteriaceae.g__Halanaeroarchaeum	PC_combined	MS2	0.68077743598519	0.098617117145436	77	77	3.85355387462048e-08	1.54802764220469e-06
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae.g__Coprobacter	PC_combined	MS2	0.879068133944091	0.127420884112335	77	77	4.2801037125072e-08	1.67161828327365e-06
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Allobaculum	PC_combined	MS2	0.679220287138004	0.0906463897226364	77	77	4.43499748771756e-08	1.68529904533267e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Alkalilimnicola	PC_combined	MS2	0.632745887457176	0.0906318094886508	77	77	5.21327812469948e-08	1.92891290613881e-06
k__Archaea.p__Euryarchaeota.g__Aciduliprofundum	PC_combined	MS2	1.04761306260007	0.155487227190135	77	77	7.35784004590794e-08	2.65259566783245e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae.g__Thermincola	PC_combined	MS2	0.675357430673165	0.0901701482437942	77	77	7.94551246943757e-08	2.7928476330073e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Chromatiales.f__Ectothiorhodospiraceae.g__Arhodomonas	PC_combined	MS2	0.99798049060113	0.133523522576388	77	76	8.44564482023437e-08	2.82728014696417e-06
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Lentzea	PC_combined	MS2	0.898832805283182	0.120847958190577	77	77	8.44103040881252e-08	2.82728014696417e-06
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prolixibacteraceae.g__Prolixibacter	PC_combined	MS2	0.865254612925795	0.13038942960797	77	77	9.1182641859965e-08	2.98146033616537e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Rhodocyclales.f__Rhodocyclaceae.g__Azonexus	PC_combined	MS2	0.685701744233276	0.106213827736011	77	77	1.53837013224517e-07	4.91579183167435e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Thiotrichales.f__Piscirickettsiaceae.g__Hydrogenovibrio	PC_combined	MS2	0.847529711353884	0.123239277881801	77	77	1.79467703952022e-07	5.60736870570096e-06
k__Bacteria.p__Verrucomicrobia.c__Spartobacteria.g__Candidatus_Xiphinematobacter	PC_combined	MS2	0.864783272455586	0.135787309169626	77	77	2.00208830839268e-07	6.11942643826111e-06
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae.g__Ponticoccus	PC_combined	MS2	0.653595273097043	0.0909792926591932	77	77	2.08871084009055e-07	6.24835625780281e-06
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitiniphilus	PC_combined	MS2	0.869070994442083	0.111543846375897	77	77	2.28892401945706e-07	6.70463994032631e-06
k__Bacteria.o__Haloplasmatales.f__Haloplasmataceae.g__Haloplasma	PC_combined	MS2	0.697758202084917	0.109402520607419	77	77	2.7207283227331e-07	7.80682453420968e-06
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Pyrodictiaceae.g__Pyrodictium	PC_combined	MS2	0.593022924922473	0.0941998888287446	77	77	2.85495207541845e-07	8.02812523607669e-06
