feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Likely_combined	MS2	0.63907493715961	0.0838478870920717	77	77	5.1434959564994e-09	6.59228208931001e-08
k__Viruses.f__Poxviridae.g__Parapoxvirus	Likely_combined	MS2	0.647794917188869	0.0854703414471506	77	77	5.78989731386508e-09	6.59228208931001e-08
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Likely_combined	MS2	0.645183514035801	0.085581636969915	77	77	6.54392225173525e-09	6.59228208931001e-08
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Likely_combined	MS2	0.647567376331914	0.0860763696168315	77	77	6.84048919836521e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Likely_combined	MS2	0.645466287304023	0.0858474639447201	77	77	6.94384335895213e-09	6.59228208931001e-08
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Likely_combined	MS2	0.649940163912529	0.0844725555187713	77	77	4.10944474309543e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Likely_combined	MS2	0.647879934813479	0.0853498779897425	77	77	5.59189116233983e-09	6.59228208931001e-08
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Likely_combined	MS2	0.645162918605056	0.085663884651264	77	77	6.69088979514265e-09	6.59228208931001e-08
k__Viruses.g__Pithovirus	Likely_combined	MS2	0.643007995739849	0.0853764453716371	77	77	6.70457675919887e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Likely_combined	MS2	0.645448942887054	0.0855588729915964	77	77	6.44383756943101e-09	6.59228208931001e-08
k__Viruses.f__Closteroviridae.g__Closterovirus	Likely_combined	MS2	0.643825342284806	0.0845249077297932	77	73	5.19581496273089e-09	6.59228208931001e-08
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Likely_combined	MS2	0.644587995830332	0.085766952553201	77	77	7.01560019413526e-09	6.59228208931001e-08
k__Viruses.f__Retroviridae.g__Lentivirus	Likely_combined	MS2	0.642257726910894	0.085253993296944	77	77	6.66704333002166e-09	6.59228208931001e-08
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus	Likely_combined	MS2	0.646967971139085	0.0846088447666323	77	5	4.74510121897955e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Likely_combined	MS2	0.643728345033823	0.0849304220171047	77	77	5.80776485645056e-09	6.59228208931001e-08
k__Viruses.f__Closteroviridae.g__Ampelovirus	Likely_combined	MS2	0.645258936577288	0.0853174287433871	77	77	6.08916613206703e-09	6.59228208931001e-08
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Likely_combined	MS2	0.641404311190857	0.0843890672534374	77	77	5.46739737295996e-09	6.59228208931001e-08
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Likely_combined	MS2	0.869681585298435	0.113301277716023	77	77	4.71528275849257e-09	6.59228208931001e-08
k__Viruses.g__Bacilladnavirus	Likely_combined	MS2	0.868665728563191	0.114154456792539	77	75	5.59770389792485e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Likely_combined	MS2	0.646811154723222	0.0851172183655784	77	77	5.46436922062834e-09	6.59228208931001e-08
k__Viruses.o__Caudovirales.f__Myoviridae.g__Cp220likevirus	Likely_combined	MS2	0.641641882688159	0.085172191594756	77	77	6.67109989201503e-09	6.59228208931001e-08
