feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Putative_combined	MS2	0.686245245072487	0.0828021258592101	77	77	6.52702100765008e-10	1.1090517195227e-08
k__Viruses.f__Poxviridae.g__Parapoxvirus	Putative_combined	MS2	0.683842334173758	0.0844200438404041	77	77	1.02341011807707e-09	1.1090517195227e-08
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Putative_combined	MS2	0.687977949669116	0.0843924972696099	77	77	9.37805474007069e-10	1.1090517195227e-08
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Trichovirus	Putative_combined	MS2	0.688818000260436	0.0850906348344232	77	77	1.10130277809425e-09	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Putative_combined	MS2	0.688316526486792	0.0846190041296849	77	77	9.8713844457656e-10	1.1090517195227e-08
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Putative_combined	MS2	0.683748653233727	0.0833077335318689	77	77	7.4585081129625e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Putative_combined	MS2	0.688724486220047	0.0848893715083292	77	77	1.04929795625235e-09	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Putative_combined	MS2	0.683750518293308	0.0843026512112523	77	77	9.92986586666104e-10	1.1090517195227e-08
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Putative_combined	MS2	0.68811460122877	0.0844628269890274	77	77	9.52676710895945e-10	1.1090517195227e-08
k__Viruses.g__Pithovirus	Putative_combined	MS2	0.688238152744153	0.0841902383085602	77	77	8.90826186509308e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Putative_combined	MS2	0.687853380834512	0.0843735758129098	77	77	9.34774553186806e-10	1.1090517195227e-08
k__Viruses.f__Closteroviridae.g__Closterovirus	Putative_combined	MS2	0.68657741324142	0.0834906476286088	77	73	7.6543435712319e-10	1.1090517195227e-08
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Putative_combined	MS2	0.6884582588399	0.0845456348058068	77	77	9.68268561735324e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Putative_combined	MS2	0.688483281278097	0.0851370794852079	77	77	1.11817333095407e-09	1.1090517195227e-08
k__Viruses.f__Retroviridae.g__Lentivirus	Putative_combined	MS2	0.688201204092957	0.0840726041933934	77	77	8.66524607212651e-10	1.1090517195227e-08
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus	Putative_combined	MS2	0.682375923237079	0.0837179481054175	77	5	8.81588989041178e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Putative_combined	MS2	0.687319367278625	0.0838300056592588	77	77	8.24198045614659e-10	1.1090517195227e-08
k__Viruses.f__Closteroviridae.g__Ampelovirus	Putative_combined	MS2	0.687515901442109	0.084168353979791	77	77	8.92627092436763e-10	1.1090517195227e-08
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Putative_combined	MS2	0.68690255505719	0.0833295594076244	77	77	7.3432006010568e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi21dtunalikevirus	Putative_combined	MS2	0.688472668145878	0.0849126909868708	77	77	1.05842422474755e-09	1.1090517195227e-08
k__Viruses.f__Virgaviridae.g__Pecluvirus	Putative_combined	MS2	0.689865226216406	0.085191789759388	77	77	1.11543739402095e-09	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	Putative_combined	MS2	0.686576920707016	0.0839874650583816	77	77	8.63985348828322e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Myoviridae.g__Cp220likevirus	Putative_combined	MS2	0.688187470146219	0.0839862738898765	77	77	8.4890151468592e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	Putative_combined	MS2	0.687537129828292	0.0834574717450076	77	77	7.53398617404069e-10	1.1090517195227e-08
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	Putative_combined	MS2	0.688407096387123	0.0846170335039406	77	77	9.85496338401841e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	Putative_combined	MS2	0.6882592966299	0.0845527244450088	77	77	9.72217821410421e-10	1.1090517195227e-08
k__Viruses.f__Caulimoviridae.g__Cavemovirus	Putative_combined	MS2	0.688508128620072	0.0846658231815293	77	77	9.96340299695277e-10	1.1090517195227e-08
k__Viruses.f__Anelloviridae.g__Betatorquevirus	Putative_combined	MS2	0.688366784199739	0.0847286728123595	77	77	1.01374179848362e-09	1.1090517195227e-08
k__Viruses.f__Caulimoviridae.g__Caulimovirus	Putative_combined	MS2	0.688470096745594	0.0846652421497961	77	77	9.96613093209471e-10	1.1090517195227e-08
k__Viruses.f__Parvoviridae.g__Protoparvovirus	Putative_combined	MS2	0.688447602274592	0.0846361324079385	77	77	9.89785122040401e-10	1.1090517195227e-08
k__Viruses.f__Bromoviridae.g__Alfamovirus	Putative_combined	MS2	0.688308586595873	0.0845730662430113	77	77	9.76382950628919e-10	1.1090517195227e-08
k__Viruses.o__Caudovirales.f__Podoviridae.g__Sp6likevirus	Putative_combined	MS2	0.687574706818763	0.0839108466799693	77	77	8.38320037741715e-10	1.1090517195227e-08
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus	Putative_combined	MS2	0.683696643294474	0.0816466174440967	77	77	5.11378254445546e-10	1.1090517195227e-08
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Allexivirus	Putative_combined	MS2	0.688322772475144	0.0845610797231572	77	77	9.73295008276753e-10	1.1090517195227e-08
k__Viruses.f__Parvoviridae.g__Ambidensovirus	Putative_combined	MS2	0.688407957789427	0.0846068449178745	77	77	9.83257157675716e-10	1.1090517195227e-08
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Putative_combined	MS2	0.688413400270526	0.0845311994018701	77	77	9.654206875703e-10	1.1090517195227e-08
k__Viruses.f__Bromoviridae.g__Ilarvirus	Putative_combined	MS2	0.688300235668997	0.0845632993140509	77	77	9.74667413120842e-10	1.1090517195227e-08
k__Viruses.f__Narnaviridae.g__Narnavirus	Putative_combined	MS2	0.687956785623821	0.0846290202349197	77	77	9.93689461459081e-10	1.1090517195227e-08
k__Viruses.f__Totiviridae.g__Totivirus	Putative_combined	MS2	0.688409932384807	0.0846228924274192	77	77	9.87077566148967e-10	1.1090517195227e-08
k__Viruses.f__Potyviridae.g__Tritimovirus	Putative_combined	MS2	0.688408366729779	0.0846253683684385	77	77	9.87668178652073e-10	1.1090517195227e-08
k__Viruses.f__Papillomaviridae.g__Dyopipapillomavirus	Putative_combined	MS2	0.688348269791524	0.0845870363041427	77	77	9.79193532688563e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Siccibacter	Putative_combined	MS2	0.683344357892638	0.0821200581642228	77	77	5.68968237284558e-10	1.1090517195227e-08
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Neosynechococcus	Putative_combined	MS2	0.685070422476755	0.0830665107967388	77	77	7.02246830616622e-10	1.1090517195227e-08
k__Bacteria.p__Cyanobacteria.o__Nostocales.f__Nostocaceae.g__Dolichospermum	Putative_combined	MS2	0.683352905694626	0.0839857188037967	77	77	9.19796953937554e-10	1.1090517195227e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Altibacter	Putative_combined	MS2	0.686798410613474	0.0836004112266804	77	77	7.8219818888098e-10	1.1090517195227e-08
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales.f__Methanomassiliicoccaceae.g__Candidatus_Methanomethylophilus	Putative_combined	MS2	0.687171448615264	0.0839410034378312	77	77	8.47844059861227e-10	1.1090517195227e-08
k__Bacteria.p__Bacteroidetes.c__Cytophagia.o__Cytophagales.f__Cyclobacteriaceae.g__Nitritalea	Putative_combined	MS2	0.684360857585492	0.0821428446936012	77	77	5.67604525322517e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Mangrovibacter	Putative_combined	MS2	0.686884681773218	0.0834865972891132	77	77	7.6221283784588e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Thalassotalea	Putative_combined	MS2	0.681423243480552	0.0808445021067536	77	77	4.39243336718887e-10	1.1090517195227e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae.g__Pseudoramibacter	Putative_combined	MS2	0.686287010743348	0.0830403816657593	77	77	6.89489552275482e-10	1.1090517195227e-08
k__Archaea.p__Euryarchaeota.c__Halobacteria.o__Natrialbales.f__Natrialbaceae.g__Natronobacterium	Putative_combined	MS2	0.688002443340734	0.0836313270717965	77	75	7.82562178539779e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfobacterales.f__Desulfobacteraceae.g__Desulfospira	Putative_combined	MS2	0.686617374686872	0.0833747088998826	77	77	7.43913795772725e-10	1.1090517195227e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	Putative_combined	MS2	0.68450330765655	0.0827983661809165	77	77	6.6124324244216e-10	1.1090517195227e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Thermoactinomycetaceae.g__Shimazuella	Putative_combined	MS2	0.685240015388629	0.0830816664370491	77	77	7.02878826425075e-10	1.1090517195227e-08
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Gaetbulibacter	Putative_combined	MS2	0.687640451195823	0.0838281589717614	77	77	8.21352832677914e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Basilea	Putative_combined	MS2	0.682049962577056	0.0833574284019839	77	77	8.03604618092117e-10	1.1090517195227e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Effusibacillus	Putative_combined	MS2	0.682293578879119	0.0836320207411264	77	77	8.62523529866907e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitinibacter	Putative_combined	MS2	0.683446834302544	0.0829912325593241	77	77	7.16142965402105e-10	1.1090517195227e-08
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanomicrobiales.f__Methanomicrobiaceae.g__Methanolacinia	Putative_combined	MS2	0.681454148362889	0.0818559873458956	77	65	5.46431751719798e-10	1.1090517195227e-08
k__Archaea.p__Euryarchaeota.c__Methanococci.o__Methanococcales.f__Methanocaldococcaceae.g__Methanotorris	Putative_combined	MS2	0.683878302781477	0.0821507144359811	77	3	5.70620626374722e-10	1.1090517195227e-08
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Myxosarcina	Putative_combined	MS2	0.686400766988582	0.0829462652617161	77	77	6.7403453103769e-10	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Alteromonadaceae.g__Gayadomonas	Putative_combined	MS2	0.685682018213527	0.0834661652870684	77	77	7.68491585540447e-10	1.1090517195227e-08
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Jeotgalibacillus	Putative_combined	MS2	0.683698125586922	0.0846325456038515	77	77	1.09248669133039e-09	1.1090517195227e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Halomonadaceae.g__Zymobacter	Putative_combined	MS2	0.678964789926469	0.0802410771823263	77	77	4.00040986805419e-10	1.1090517195227e-08
