feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Without_combined	MS2	0.680644720922039	0.0930180702067714	77	77	1.3808831471557e-08	1.61926282759292e-07
k__Viruses.f__Poxviridae.g__Parapoxvirus	Without_combined	MS2	0.692159742164587	0.0943524510213031	77	77	1.3890938996701e-08	1.61926282759292e-07
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Without_combined	MS2	0.688644850219974	0.0946174385202769	77	77	1.59676520212967e-08	1.61926282759292e-07
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Without_combined	MS2	0.69181953904283	0.0950250274326374	77	77	1.61769299355206e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Without_combined	MS2	0.689022518317839	0.0948909278434997	77	77	1.67881737337509e-08	1.61926282759292e-07
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Without_combined	MS2	0.695139323352312	0.0931205488757341	77	77	1.00302055836618e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Without_combined	MS2	0.689407926078274	0.0952188655157273	77	77	1.78510482416004e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Without_combined	MS2	0.692277108645822	0.0942157003690791	77	77	1.34523211886111e-08	1.61926282759292e-07
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Without_combined	MS2	0.688615080500878	0.0947084638688721	77	77	1.62986895479627e-08	1.61926282759292e-07
k__Viruses.g__Pithovirus	Without_combined	MS2	0.685738314508043	0.0945017654026094	77	77	1.67417292329916e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Without_combined	MS2	0.689000100752165	0.0945786313541567	77	77	1.56981013077377e-08	1.61926282759292e-07
k__Viruses.f__Closteroviridae.g__Closterovirus	Without_combined	MS2	0.686833878038433	0.0935402371353065	77	73	1.32004210558241e-08	1.61926282759292e-07
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Without_combined	MS2	0.687843169037976	0.0948494856376694	77	77	1.71266105691548e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Without_combined	MS2	0.691950797819592	0.0954457043561275	77	77	1.76422295295903e-08	1.61926282759292e-07
k__Viruses.f__Retroviridae.g__Lentivirus	Without_combined	MS2	0.684761600217234	0.0944068873256466	77	77	1.68163141116157e-08	1.61926282759292e-07
k__Viruses.o__Mononegavirales.f__Nyamiviridae.g__Nyavirus	Without_combined	MS2	0.691079226527128	0.0934577073415711	77	5	1.17309222963413e-08	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Without_combined	MS2	0.686725955303355	0.0939847108167752	77	77	1.45873174854167e-08	1.61926282759292e-07
k__Viruses.f__Closteroviridae.g__Ampelovirus	Without_combined	MS2	0.688755622764511	0.094326630289797	77	77	1.49517662001353e-08	1.61926282759292e-07
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Without_combined	MS2	0.683674762956151	0.0935048448852923	77	77	1.41862071490992e-08	1.61926282759292e-07
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	Without_combined	MS2	0.930449245718582	0.117086607400144	77	77	1.87016343827787e-09	1.61926282759292e-07
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi21dtunalikevirus	Without_combined	MS2	0.690545096741907	0.0952053675388606	77	77	1.73186748170011e-08	1.61926282759292e-07
k__Viruses.g__Bacilladnavirus	Without_combined	MS2	0.931329306354078	0.117939026576894	77	75	2.16385045150427e-09	1.61926282759292e-07
