feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Deinococcus.Thermus.c__Deinococci.o__Thermales.f__Thermaceae.g__Meiothermus	PC_combined	MS2	0.782468578090769	0.220151102527579	77	77	0.00106084371787399	0.186708494345822
k__Viruses.o__Tymovirales.f__Gammaflexiviridae.g__Mycoflexivirus	PC_combined	MS2	-2.19938432317562e-06	4.49044141164345e-06	77	77	0.624513799647671	0.924847694505353
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	PC_combined	MS2	-0.000542649351115376	0.000585766275663182	77	77	0.360514639588816	0.924847694505353
k__Viruses.o__Caudovirales.f__Myoviridae.g__Felixounalikevirus	PC_combined	MS2	0.000183115841648736	0.000365488674705441	77	77	0.619439661053654	0.924847694505353
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	PC_combined	MS2	0.000390554484012425	0.000628262403107232	77	77	0.540567162188325	0.924847694505353
k__Viruses.f__Potyviridae.g__Rymovirus	PC_combined	MS2	3.29342981565388e-06	6.78465617140614e-06	77	77	0.628036507981667	0.924847694505353
k__Viruses.o__Caudovirales.f__Myoviridae.g__PhiCD119likevirus	PC_combined	MS2	3.03994501518113e-07	3.02422565755613e-07	77	77	0.646235651452217	0.924847694505353
k__Viruses.f__Endornaviridae.g__Endornavirus	PC_combined	MS2	-0.739438998312071	0.764593457446111	77	77	0.341879093502035	0.924847694505353
k__Viruses.f__Anelloviridae.g__Epsilontorquevirus	PC_combined	MS2	1.91688205518261e-06	2.95550909569765e-06	77	77	0.546362454769756	0.924847694505353
k__Viruses.f__Globuloviridae.g__Globulovirus	PC_combined	MS2	4.26794942142565e-06	8.74271101690724e-06	77	77	0.628461909172845	0.924847694505353
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Mandarivirus	PC_combined	MS2	1.98746209860189e-05	4.05815529864643e-05	77	77	0.627351578914916	0.924847694505353
k__Viruses.f__Caulimoviridae.g__Rosadnavirus	PC_combined	MS2	4.17809753563214e-07	4.49798015145421e-07	77	77	0.572979176941238	0.924847694505353
k__Viruses.f__Flaviviridae.g__Pegivirus	PC_combined	MS2	-1.79006874892222e-05	2.13873729433955e-05	77	77	0.408122341477941	0.924847694505353
k__Viruses.f__Parvoviridae.g__Copiparvovirus	PC_combined	MS2	9.2851968136144e-06	1.8325278728868e-05	77	77	0.615485303054582	0.924847694505353
k__Viruses.f__Anelloviridae.g__Iotatorquevirus	PC_combined	MS2	4.64105138979746e-05	4.57524076575316e-05	77	77	0.317370804060451	0.924847694505353
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus	PC_combined	MS2	-0.00643731378694021	0.0124207820931057	77	77	0.607449251101242	0.924847694505353
k__Viruses.f__Parvoviridae.g__Dependoparvovirus	PC_combined	MS2	2.54940078423811e-05	3.24248549123633e-05	77	77	0.437079202714559	0.924847694505353
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	PC_combined	MS2	-0.000266018683853295	0.000547987177280379	77	77	0.630436162927961	0.924847694505353
k__Viruses.g__Polemovirus	PC_combined	MS2	0.000101565151675615	0.000122628125950578	77	77	0.412986075620339	0.924847694505353
k__Viruses.f__Leviviridae.g__Levivirus	PC_combined	MS2	-0.000180778343783334	0.000372545056752528	77	77	0.630560959325327	0.924847694505353
k__Viruses.o__Mononegavirales.f__Paramyxoviridae.g__Aquaparamyxovirus	PC_combined	MS2	3.92860863648406e-06	4.63018821516714e-06	77	77	0.396630885376153	0.924847694505353
k__Viruses.f__Parvoviridae.g__Hepandensovirus	PC_combined	MS2	-6.16911240215961e-05	0.000127079748467062	77	77	0.630414766724898	0.924847694505353
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus	PC_combined	MS2	1.41039423864305e-05	1.37395106615649e-05	77	77	0.311700446766471	0.924847694505353
k__Viruses.f__Reoviridae.g__Aquareovirus	PC_combined	MS2	-2.59007792965248e-05	2.66777199439963e-05	77	77	0.338232332587771	0.924847694505353
k__Viruses.f__Bromoviridae.g__Ilarvirus	PC_combined	MS2	-0.000170755445477976	0.000203796620727367	77	77	0.407619182557312	0.924847694505353
k__Viruses.f__Papillomaviridae.g__Dyoomikronpapillomavirus	PC_combined	MS2	8.03696686052896e-06	1.62566971466283e-05	77	77	0.624087166281273	0.924847694505353
k__Viruses.f__Parvoviridae.g__Bocaparvovirus	PC_combined	MS2	-2.54777327508589e-06	3.13940726425724e-06	77	77	0.444158931909483	0.924847694505353
k__Viruses.f__Anelloviridae.g__Zetatorquevirus	PC_combined	MS2	1.15977657928568e-05	2.31294121679053e-05	77	77	0.619151168493133	0.924847694505353
k__Viruses.f__Narnaviridae.g__Mitovirus	PC_combined	MS2	-1.82207292351287e-05	3.75290633724261e-05	77	77	0.630395288005219	0.924847694505353
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Charlielikevirus	PC_combined	MS2	1.44294383131614e-05	2.88306517847211e-05	77	77	0.619808072964097	0.924847694505353
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Iebhlikevirus	PC_combined	MS2	5.97908150638763e-07	8.93220728301484e-07	77	77	0.580209686439991	0.924847694505353
k__Viruses.o__Caudovirales.f__Myoviridae.g__Mulikevirus	PC_combined	MS2	-6.082867495587e-06	1.11858052663435e-05	77	77	0.589916546971917	0.924847694505353
k__Viruses.o__Picornavirales.g__Bacillarnavirus	PC_combined	MS2	2.09746196044052e-06	3.82787107385121e-06	77	77	0.585296557863848	0.924847694505353
k__Viruses.f__Megabirnaviridae.g__Megabirnavirus	PC_combined	MS2	1.5555108874539e-06	3.20465564303926e-06	77	77	0.635619676756853	0.924847694505353
k__Viruses.f__Caulimoviridae.g__Tungrovirus	PC_combined	MS2	1.24796416313651e-06	1.26257266925386e-06	77	77	0.409499480472127	0.924847694505353
k__Viruses.f__Retroviridae.g__Spumavirus	PC_combined	MS2	1.53611814151247e-06	1.49807835436859e-06	77	77	0.384972900991895	0.924847694505353
k__Viruses.g__Idaeovirus	PC_combined	MS2	-4.2390932151916e-07	5.99665240620584e-07	77	77	0.600891418809303	0.924847694505353
k__Viruses.f__Totiviridae.g__Totivirus	PC_combined	MS2	-1.9057606943949e-05	2.69713739336919e-05	77	77	0.485131444222014	0.924847694505353
k__Viruses.f__Reoviridae.g__Dinovernavirus	PC_combined	MS2	1.03900959227881e-06	2.11731426008026e-06	77	77	0.655409030760345	0.924847694505353
k__Viruses.f__Potyviridae.g__Poacevirus	PC_combined	MS2	-8.87562790827795e-06	1.06067240393232e-05	77	77	0.408223695512108	0.924847694505353
k__Viruses.f__Iridoviridae.g__Megalocytivirus	PC_combined	MS2	-1.765494168386e-05	3.49549872392782e-05	77	77	0.616606773433071	0.924847694505353
k__Viruses.o__Mononegavirales.f__Rhabdoviridae.g__Tibrovirus	PC_combined	MS2	3.53651340914231e-07	4.59355122926963e-07	77	77	0.619179571043405	0.924847694505353
k__Viruses.f__Papillomaviridae.g__Rhopapillomavirus	PC_combined	MS2	1.47314642196025e-06	2.70532000177141e-06	77	77	0.617422867873168	0.924847694505353
k__Viruses.g__Varicosavirus	PC_combined	MS2	-1.71084473823342e-05	2.04173349890173e-05	77	77	0.407583303914559	0.924847694505353
k__Viruses.f__Hepadnaviridae.g__Avihepadnavirus	PC_combined	MS2	-2.2388596550476e-05	2.75113330842064e-05	77	77	0.421141506470068	0.924847694505353
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Bronlikevirus	PC_combined	MS2	-7.04044978364489e-07	8.22899690069135e-07	77	77	0.502595168230829	0.924847694505353
k__Viroids.f__Pospiviroidae.g__Coleviroid	PC_combined	MS2	-6.12224753982852e-05	9.18747056165299e-05	77	77	0.510647593198448	0.924847694505353
k__Viroids.f__Avsunviroidae.g__Pelamoviroid	PC_combined	MS2	-2.00149561453229e-05	3.94611353923515e-05	77	77	0.615123646882186	0.924847694505353
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bppunalikevirus	PC_combined	MS2	-6.14821086894182e-06	1.33792377567925e-05	77	77	0.648607465112432	0.924847694505353
k__Viruses.f__Leviviridae.g__Allolevivirus	PC_combined	MS2	-4.09218344747178e-06	4.08414900513154e-06	77	77	0.321898985411181	0.924847694505353
k__Viroids.f__Pospiviroidae.g__Apscaviroid	PC_combined	MS2	-9.15020585565914e-06	1.09635334847464e-05	77	77	0.409431459495248	0.924847694505353
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Pbiunalikevirus	PC_combined	MS2	3.41137263733661e-06	4.17183532082697e-06	77	77	0.41650940640904	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Pragia	PC_combined	MS2	-0.0898300974294341	0.137214142743193	77	77	0.517391044597678	0.924847694505353
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Leeuwenhoekiella	PC_combined	MS2	-0.0308093473694699	0.061853783216706	77	77	0.622545654861842	0.924847694505353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Thermoanaerobacterales.f__Thermoanaerobacterales_Family_III._Incertae_Sedis.g__Thermoanaerobacterium	PC_combined	MS2	-0.436599176929312	0.348047468810108	77	77	0.218649759001592	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Ponticaulis	PC_combined	MS2	-0.131705634283568	0.161552283966687	77	77	0.420434038263172	0.924847694505353
k__Archaea.p__Euryarchaeota.c__Methanomicrobia.o__Methanocellales.f__Methanocellaceae.g__Methanocella	PC_combined	MS2	-1.13787125446965	0.680914770357222	77	77	0.104100322436843	0.924847694505353
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Salinimicrobium	PC_combined	MS2	-0.112507419600531	0.141669107012889	77	77	0.435146628545817	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Methylophilales.f__Methylophilaceae.g__Methylotenera	PC_combined	MS2	-0.348032418657947	0.273439627137058	77	77	0.213909979082022	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Hyphomonadaceae.g__Oceanicaulis	PC_combined	MS2	1.36373504065969	0.546872937488862	77	77	0.0173885019598314	0.924847694505353
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter	PC_combined	MS2	0.245731632538037	0.131072822172223	77	77	0.0690115923564143	0.924847694505353
k__Bacteria.p__Cyanobacteria.o__Pleurocapsales.g__Chroococcidiopsis	PC_combined	MS2	-0.0943819484606212	0.136125106749359	77	77	0.493537714480125	0.924847694505353
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Arenitalea	PC_combined	MS2	-0.00435592276548986	0.00425626742767752	77	77	0.313133470654843	0.924847694505353
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Streptomycetales.f__Streptomycetaceae.g__Streptomyces	PC_combined	MS2	0.101585475717245	0.225631239219751	77	77	0.655267727433341	0.924847694505353
k__Bacteria.p__Verrucomicrobia.c__Opitutae.o__Opitutales.f__Opitutaceae.g__Diplosphaera	PC_combined	MS2	0.207789708849883	0.46098934361494	77	77	0.654837462840366	0.924847694505353
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Joostella	PC_combined	MS2	0.121653278322007	0.219350569882091	77	77	0.582581507262809	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Orbales.f__Orbaceae.g__Frischella	PC_combined	MS2	-0.162909483833987	0.211435437727063	77	77	0.445899788512937	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Histophilus	PC_combined	MS2	-0.183452748812368	0.159073517309341	77	77	0.258398912862302	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Candidatus_Riesia	PC_combined	MS2	0.167521256676816	0.222734375299618	77	77	0.456883138177432	0.924847694505353
k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Planococcaceae.g__Viridibacillus	PC_combined	MS2	0.293463973246455	0.400458166725784	77	77	0.468867720981677	0.924847694505353
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Pseudonocardiales.f__Pseudonocardiaceae.g__Prauserella	PC_combined	MS2	1.12985354265973	0.581467813571898	77	77	0.0599565179030768	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.g__Micavibrio	PC_combined	MS2	0.847414751375489	0.554702193691077	77	77	0.135093267068189	0.924847694505353
k__Bacteria.g__Thermobaculum	PC_combined	MS2	0.202629609112116	0.113896294230541	77	77	0.0834498393871597	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.g__Pseudohongiella	PC_combined	MS2	-0.0972190173858847	0.0876689996248632	77	77	0.276911562122438	0.924847694505353
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Desulfurococcaceae.g__Ignicoccus	PC_combined	MS2	-0.17339619883549	0.198147062805557	77	77	0.387281211778813	0.924847694505353
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Enterorhabdus	PC_combined	MS2	0.22054958253893	0.26649275580871	77	77	0.414417613835856	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Saccharospirillaceae.g__Gynuella	PC_combined	MS2	-0.0436197166068655	0.0610914519646944	77	77	0.479970881177326	0.924847694505353
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.g__Epulopiscium	PC_combined	MS2	-0.507087085478176	0.285805979162208	77	77	0.0844328878741284	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.g__Candidatus_Babela	PC_combined	MS2	0.657008961486723	0.282411062760179	77	77	0.0260048428746506	0.924847694505353
k__Bacteria.p__Armatimonadetes.c__Fimbriimonadia.o__Fimbriimonadales.f__Fimbriimonadaceae.g__Fimbriimonas	PC_combined	MS2	-0.938774591223033	0.741512763546758	77	77	0.213464462119903	0.924847694505353
k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Calditerrivibrio	PC_combined	MS2	-0.183079437164778	0.178405313966626	77	77	0.313678277656087	0.924847694505353
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Vitreoscilla	PC_combined	MS2	0.743001790337289	0.41185300718912	77	77	0.0794876028685582	0.924847694505353
k__Archaea.p__Crenarchaeota.c__Thermoprotei.o__Desulfurococcales.f__Pyrodictiaceae.g__Pyrolobus	PC_combined	MS2	-0.445904785989122	0.324474087156994	77	77	0.179493414105924	0.924847694505353
