feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Neisseriaceae.g__Simonsiella	Likely_combined	MS2	-1.57447007898196	0.522560284067322	77	77	0.00471381858044692	0.829632070158658
k__Viruses.o__Tymovirales.f__Gammaflexiviridae.g__Mycoflexivirus	Likely_combined	MS2	-2.19898714462567e-06	4.49041320288672e-06	77	77	0.624574141702028	0.859046516655279
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	Likely_combined	MS2	-0.000857119585229284	0.000614775115700574	77	77	0.171943430914183	0.859046516655279
k__Viruses.o__Caudovirales.f__Myoviridae.g__Felixounalikevirus	Likely_combined	MS2	0.000183114823360635	0.000365490732322382	77	77	0.619443564377564	0.859046516655279
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Likely_combined	MS2	0.000553948841069368	0.000662984979300835	77	77	0.41164697567293	0.859046516655279
k__Viruses.f__Potyviridae.g__Rymovirus	Likely_combined	MS2	3.29355812802115e-06	6.78473616511272e-06	77	77	0.62802807910781	0.859046516655279
k__Viruses.o__Caudovirales.f__Myoviridae.g__PhiCD119likevirus	Likely_combined	MS2	4.7678712996935e-07	3.16850163431738e-07	77	77	0.572666151786921	0.859046516655279
k__Viruses.f__Endornaviridae.g__Endornavirus	Likely_combined	MS2	-0.807635855961893	0.784533947688439	77	77	0.313387948289617	0.859046516655279
k__Viruses.f__Anelloviridae.g__Epsilontorquevirus	Likely_combined	MS2	2.95140309526432e-06	3.1264483843585e-06	77	77	0.393178540407877	0.859046516655279
k__Viruses.f__Globuloviridae.g__Globulovirus	Likely_combined	MS2	4.26506455659496e-06	8.74291927866796e-06	77	77	0.628702735850402	0.859046516655279
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Mandarivirus	Likely_combined	MS2	1.98472417602508e-05	4.05836695777158e-05	77	77	0.627842875632885	0.859046516655279
k__Viruses.f__Caulimoviridae.g__Rosadnavirus	Likely_combined	MS2	6.54200181540307e-07	4.72351843027436e-07	77	77	0.469752421979654	0.859046516655279
k__Viruses.f__Flaviviridae.g__Pegivirus	Likely_combined	MS2	-2.7122340540098e-05	2.25081114817812e-05	77	77	0.236149854598074	0.859046516655279
k__Viruses.f__Parvoviridae.g__Copiparvovirus	Likely_combined	MS2	9.28113160650455e-06	1.83252301445141e-05	77	77	0.615638324878853	0.859046516655279
k__Viruses.f__Anelloviridae.g__Iotatorquevirus	Likely_combined	MS2	7.27323062746674e-05	4.7933164508302e-05	77	77	0.138148692956315	0.859046516655279
k__Viruses.f__Hepadnaviridae.g__Orthohepadnavirus	Likely_combined	MS2	-0.00643763732358608	0.0124207681469729	77	77	0.607438366009392	0.859046516655279
k__Viruses.f__Parvoviridae.g__Dependoparvovirus	Likely_combined	MS2	3.57995699877757e-05	3.41173391093853e-05	77	77	0.301950267140962	0.859046516655279
k__Viruses.o__Picornavirales.f__Secoviridae.g__Comovirus	Likely_combined	MS2	-0.000266020966382959	0.000547988116628008	77	77	0.630433784723754	0.859046516655279
k__Viruses.g__Polemovirus	Likely_combined	MS2	0.000147651656687734	0.000129033854335559	77	77	0.260323021504287	0.859046516655279
k__Viruses.f__Leviviridae.g__Levivirus	Likely_combined	MS2	-0.000180514561793206	0.000372566742676872	77	77	0.631073788228326	0.859046516655279
k__Viruses.o__Mononegavirales.f__Paramyxoviridae.g__Aquaparamyxovirus	Likely_combined	MS2	6.29452487142253e-06	4.86726943638631e-06	77	77	0.196981892075194	0.859046516655279
k__Viruses.f__Parvoviridae.g__Hepandensovirus	Likely_combined	MS2	-6.16218816305679e-05	0.000127085693999725	77	77	0.630814045567427	0.859046516655279
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phieco32likevirus	Likely_combined	MS2	2.21011715830861e-05	1.43890919857654e-05	77	77	0.133533036613279	0.859046516655279
k__Viruses.f__Reoviridae.g__Aquareovirus	Likely_combined	MS2	-4.07174486602022e-05	2.79723647441497e-05	77	77	0.154340410189082	0.859046516655279
k__Viruses.f__Bromoviridae.g__Ilarvirus	Likely_combined	MS2	-0.000255108765885907	0.000214471167065755	77	77	0.242159969183288	0.859046516655279
k__Viruses.f__Nanoviridae.g__Nanovirus	Likely_combined	MS2	1.11303649724194e-06	1.89265811715096e-06	77	77	0.597855626266533	0.859046516655279
k__Viruses.f__Papillomaviridae.g__Dyoomikronpapillomavirus	Likely_combined	MS2	8.03603790964056e-06	1.62567789158018e-05	77	77	0.624128798238567	0.859046516655279
k__Viruses.f__Parvoviridae.g__Bocaparvovirus	Likely_combined	MS2	-3.63489357460442e-06	3.30295778032088e-06	77	77	0.310717656509852	0.859046516655279
k__Viruses.f__Anelloviridae.g__Zetatorquevirus	Likely_combined	MS2	1.15991185496521e-05	2.31294123487282e-05	77	77	0.619110463190357	0.859046516655279
k__Viruses.f__Narnaviridae.g__Mitovirus	Likely_combined	MS2	-1.82150610113848e-05	3.75293318420206e-05	77	77	0.630504699533973	0.859046516655279
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Charlielikevirus	Likely_combined	MS2	1.44268340682573e-05	2.88307242329017e-05	77	77	0.619871912521514	0.859046516655279
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Iebhlikevirus	Likely_combined	MS2	9.22468006918264e-07	9.44587384237147e-07	77	77	0.445508450676605	0.859046516655279
k__Viruses.o__Caudovirales.f__Myoviridae.g__Mulikevirus	Likely_combined	MS2	-8.71666391911514e-06	1.19067663677497e-05	77	77	0.473942978406527	0.859046516655279
k__Viruses.o__Picornavirales.g__Bacillarnavirus	Likely_combined	MS2	3.07633100877478e-06	4.08559538149425e-06	77	77	0.459581253539594	0.859046516655279
k__Viruses.f__Megabirnaviridae.g__Megabirnavirus	Likely_combined	MS2	1.55570345952714e-06	3.20465209124839e-06	77	77	0.63557748386689	0.859046516655279
k__Viruses.f__Corticoviridae.g__Corticovirus	Likely_combined	MS2	1.183258489614e-06	2.81462136472343e-06	77	77	0.698165872932534	0.859046516655279
k__Viruses.f__Caulimoviridae.g__Tungrovirus	Likely_combined	MS2	1.9555504084827e-06	1.32374757418077e-06	77	77	0.256320524020444	0.859046516655279
k__Viruses.f__Retroviridae.g__Spumavirus	Likely_combined	MS2	2.40727719918132e-06	1.56879458024047e-06	77	77	0.229625000793769	0.859046516655279
k__Viruses.g__Idaeovirus	Likely_combined	MS2	-5.9271192828666e-07	6.31298824135363e-07	77	77	0.5126500891972	0.859046516655279
k__Viruses.f__Narnaviridae.g__Narnavirus	Likely_combined	MS2	-0.000674668176039202	0.00121326396910975	77	77	0.582714509261278	0.859046516655279
k__Viruses.f__Totiviridae.g__Totivirus	Likely_combined	MS2	-2.66511753650277e-05	2.83946514087442e-05	77	77	0.355859881558777	0.859046516655279
k__Viroids.f__Pospiviroidae.g__Cocadviroid	Likely_combined	MS2	1.06255027656737e-05	2.52392645147681e-05	77	77	0.676259609723829	0.859046516655279
