feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Deinococcus.Thermus.c__Deinococci.o__Thermales.f__Thermaceae.g__Meiothermus	Putative_combined	MS2	0.688252052183858	0.216438038212972	77	77	0.00297656491418749	0.523875424896997
k__Bacteria.p__Cyanobacteria.o__Chroococcales.g__Synechocystis	Putative_combined	MS2	-1.34322691103715	0.484756635770953	77	77	0.00905257226070374	0.796626358941929
k__Viruses.o__Tymovirales.f__Gammaflexiviridae.g__Mycoflexivirus	Putative_combined	MS2	-2.32143317049977e-06	4.35773679490423e-06	77	77	0.59656600181117	0.923773639905937
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	Putative_combined	MS2	-0.000414714290958337	0.000597886019069465	77	77	0.492302152421966	0.923773639905937
k__Viruses.o__Caudovirales.f__Myoviridae.g__Felixounalikevirus	Putative_combined	MS2	0.000189715190977834	0.000356159296195383	77	77	0.600042038442194	0.923773639905937
k__Viruses.o__Caudovirales.f__Podoviridae.g__N4likevirus	Putative_combined	MS2	0.000386904089283599	0.000615595830586238	77	77	0.547044951622225	0.923773639905937
k__Viruses.f__Potyviridae.g__Rymovirus	Putative_combined	MS2	3.55611733546111e-06	6.54228148221846e-06	77	77	0.587321787378882	0.923773639905937
k__Viruses.f__Endornaviridae.g__Endornavirus	Putative_combined	MS2	-0.886291669991386	0.75953247991497	77	77	0.25367503186364	0.923773639905937
k__Viruses.f__Anelloviridae.g__Epsilontorquevirus	Putative_combined	MS2	2.17735503939032e-06	2.90278268811119e-06	77	77	0.488718198200022	0.923773639905937
k__Viruses.f__Globuloviridae.g__Globulovirus	Putative_combined	MS2	4.53954279211586e-06	8.46989204085975e-06	77	77	0.598594983298522	0.923773639905937
k__Viruses.o__Tymovirales.f__Alphaflexiviridae.g__Mandarivirus	Putative_combined	MS2	2.09922029549118e-05	3.9365343145425e-05	77	77	0.600288766097305	0.923773639905937
