feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Chitiniphilus	PC_combined	MS2	0.770884085534865	0.109889911498314	77	18	2.92428843723706e-08	2.50757733493077e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.g__Candidatus_Accumulibacter	PC_combined	MS2	0.753835183098003	0.104397561966489	77	49	1.59015484023165e-08	2.50757733493077e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	PC_combined	MS2	0.546313000995172	0.0930263660918175	77	77	2.13314449936067e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus	PC_combined	MS2	0.546138711618373	0.0936123328391057	77	75	2.2335532694706e-06	3.12895348093439e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus	PC_combined	MS2	0.551757346559356	0.0943595453963833	77	9	2.62671318271741e-06	3.12895348093439e-05
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	PC_combined	MS2	0.552774181863802	0.0940471930959958	77	40	3.03077683158474e-06	3.12895348093439e-05
k__Viruses.f__Inoviridae.g__Inovirus	PC_combined	MS2	0.569191610474598	0.0961800240770725	77	77	8.40975705997816e-07	3.12895348093439e-05
k__Viruses.f__Caulimoviridae.g__Badnavirus	PC_combined	MS2	0.553288246496932	0.0940823712561029	77	75	3.11460961763295e-06	3.12895348093439e-05
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	PC_combined	MS2	0.554838202000133	0.0944785056868734	77	76	3.13580365491718e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	PC_combined	MS2	0.554084534059001	0.0941343299716432	77	77	3.25300677917154e-06	3.12895348093439e-05
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	PC_combined	MS2	0.552515894732801	0.0938168408196469	77	75	3.2103545554017e-06	3.12895348093439e-05
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	PC_combined	MS2	0.546184941576104	0.0942029219626229	77	5	2.05666432277795e-06	3.12895348093439e-05
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	PC_combined	MS2	0.554460717546835	0.0941317018972109	77	77	3.34977441065989e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	PC_combined	MS2	0.551140099483793	0.0943323341094295	77	77	2.54453090023622e-06	3.12895348093439e-05
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	PC_combined	MS2	0.549617162719933	0.0935009689873396	77	77	2.76581816089415e-06	3.12895348093439e-05
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	PC_combined	MS2	0.553187560386453	0.0940614742011958	77	72	3.11223206669176e-06	3.12895348093439e-05
k__Viruses.g__Pithovirus	PC_combined	MS2	0.551874836253699	0.0937321703492133	77	75	3.15110716093329e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	PC_combined	MS2	0.552585201449395	0.0940838538064011	77	77	2.96828143270751e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus	PC_combined	MS2	0.555010570613608	0.0949342238106233	77	77	2.90328050109416e-06	3.12895348093439e-05
k__Viruses.f__Reoviridae.g__Cypovirus	PC_combined	MS2	0.552563357225243	0.093797101432438	77	62	3.2459998221409e-06	3.12895348093439e-05
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	PC_combined	MS2	0.548828319741473	0.0935922718177862	77	72	2.66598352515883e-06	3.12895348093439e-05
k__Viruses.f__Closteroviridae.g__Closterovirus	PC_combined	MS2	0.547455767054038	0.0936191961371517	77	1	2.41214198368389e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	PC_combined	MS2	0.549235346598749	0.0940589232274791	77	43	2.40407949213135e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	PC_combined	MS2	0.553214299611983	0.0939120627500619	77	77	3.27318481569751e-06	3.12895348093439e-05
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	PC_combined	MS2	0.553777769549352	0.0940009466996243	77	77	3.31650241643708e-06	3.12895348093439e-05
k__Viruses.f__Retroviridae.g__Lentivirus	PC_combined	MS2	0.551245387710435	0.0936293952137664	77	77	3.14229207989175e-06	3.12895348093439e-05
k__Viruses.f__Luteoviridae.g__Polerovirus	PC_combined	MS2	0.554296444152372	0.0940923751578764	77	77	3.34996951300927e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	PC_combined	MS2	0.549552577560783	0.0937264223943492	77	75	2.67435636240867e-06	3.12895348093439e-05
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	PC_combined	MS2	0.551338090906591	0.0944547543252307	77	77	2.52114595158911e-06	3.12895348093439e-05
k__Viruses.f__Poxviridae.g__Avipoxvirus	PC_combined	MS2	0.53556716446777	0.0926688656942749	77	1	1.81249032597646e-06	3.12895348093439e-05
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus	PC_combined	MS2	0.553006851531463	0.0939184304413042	77	77	3.21335804687421e-06	3.12895348093439e-05
k__Viruses.f__Closteroviridae.g__Ampelovirus	PC_combined	MS2	0.551422481046076	0.0939987591556755	77	77	2.79522518379496e-06	3.12895348093439e-05
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	PC_combined	MS2	0.547376029170089	0.0933743006681745	77	77	2.45936667388422e-06	3.12895348093439e-05
k__Viruses.o__Herpesvirales.f__Malacoherpesviridae.g__Ostreavirus	PC_combined	MS2	0.808889021312376	0.12360661847288	77	12	8.0171570985651e-07	3.12895348093439e-05
k__Viruses.o__Tymovirales.f__Betaflexiviridae.g__Foveavirus	PC_combined	MS2	0.553785936969956	0.0941027272202211	77	77	3.2079282120593e-06	3.12895348093439e-05
k__Viruses.g__Bacilladnavirus	PC_combined	MS2	0.800447150291911	0.12370720853936	77	1	1.65205792755302e-07	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Skunalikevirus	PC_combined	MS2	0.550184665856981	0.0941279123397075	77	77	2.50251253815534e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Phikzlikevirus	PC_combined	MS2	0.550264182022639	0.0933122774835389	77	77	2.49412376415982e-06	3.12895348093439e-05
k__Viruses.f__Orthomyxoviridae.g__Influenzavirus_C	PC_combined	MS2	0.554099305920767	0.0940981903051474	77	77	3.29631886420058e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phi29likevirus	PC_combined	MS2	0.553719736185898	0.0940894606505691	77	77	3.20873349560794e-06	3.12895348093439e-05
k__Viruses.f__Caulimoviridae.g__Cavemovirus	PC_combined	MS2	0.554417304567111	0.0940977142607421	77	77	3.37438244480972e-06	3.12895348093439e-05
k__Viruses.f__Anelloviridae.g__Betatorquevirus	PC_combined	MS2	0.554659361468323	0.0942126360631567	77	77	3.31856943351449e-06	3.12895348093439e-05
k__Viruses.f__Caulimoviridae.g__Caulimovirus	PC_combined	MS2	0.554401023043126	0.0941123004890896	77	77	3.35282850676125e-06	3.12895348093439e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Pbunalikevirus	PC_combined	MS2	0.553363388029347	0.0939925273764404	77	77	3.22182773272764e-06	3.12895348093439e-05
k__Viruses.f__Reoviridae.g__Phytoreovirus	PC_combined	MS2	0.554694764350208	0.094295346937572	77	77	3.24102346552323e-06	3.12895348093439e-05
k__Viruses.f__Bromoviridae.g__Alfamovirus	PC_combined	MS2	0.553856506250842	0.0940870798764312	77	77	3.24022113217032e-06	3.12895348093439e-05
