feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Likely_combined	MS2	0.574846202703963	0.0850213367315537	77	77	1.28705794260869e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus	Likely_combined	MS2	0.576282042280724	0.0855771048562836	77	75	1.21560502292584e-07	1.76357729410709e-06
k__Viruses.f__Poxviridae.g__Parapoxvirus	Likely_combined	MS2	0.579563340273015	0.0866629067493558	77	9	1.50050798381202e-07	1.76357729410709e-06
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Likely_combined	MS2	0.576512123227475	0.0868369438745677	77	40	1.60748428785866e-07	1.76357729410709e-06
k__Viruses.f__Caulimoviridae.g__Badnavirus	Likely_combined	MS2	0.576607909975675	0.0869373369910014	77	75	1.64091904859335e-07	1.76357729410709e-06
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Likely_combined	MS2	0.579138677200962	0.0872570405623559	77	76	1.71497759090804e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Likely_combined	MS2	0.576775579108608	0.0870887443303667	77	77	1.69370424733325e-07	1.76357729410709e-06
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Likely_combined	MS2	0.574622315896038	0.0867957745550181	77	75	1.63456735368186e-07	1.76357729410709e-06
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Likely_combined	MS2	0.582421165174145	0.0856195068508458	77	5	1.16425437791685e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Phikmvlikevirus	Likely_combined	MS2	0.582199523882298	0.088326494635873	77	12	1.36153824453639e-07	1.76357729410709e-06
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Likely_combined	MS2	0.576641328703979	0.0871611982073573	77	77	1.72309752410524e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Likely_combined	MS2	0.579757925988253	0.0865435430298555	77	77	1.47716840219491e-07	1.76357729410709e-06
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Likely_combined	MS2	0.572659812172615	0.0861707408782111	77	77	1.46739014366638e-07	1.76357729410709e-06
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Likely_combined	MS2	0.576473603127248	0.0869181131439207	77	72	1.63761828223891e-07	1.76357729410709e-06
k__Viruses.g__Pithovirus	Likely_combined	MS2	0.574103824564962	0.0866773432924045	77	75	1.60513892750486e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Likely_combined	MS2	0.576824737304598	0.0868092413583837	77	77	1.59152322001387e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus	Likely_combined	MS2	0.582325841546135	0.0873567410765712	77	77	1.06888270011026e-07	1.76357729410709e-06
k__Viruses.f__Reoviridae.g__Cypovirus	Likely_combined	MS2	0.574456337097908	0.0868038716473593	77	62	1.64312507408452e-07	1.76357729410709e-06
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Likely_combined	MS2	0.574024126073786	0.0861118082771242	77	72	1.41543176593849e-07	1.76357729410709e-06
k__Viruses.f__Closteroviridae.g__Closterovirus	Likely_combined	MS2	0.575247493948251	0.0858354673831108	77	1	1.30613524486829e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Likely_combined	MS2	0.578486376440832	0.086163159113611	77	43	1.35546166420355e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Likely_combined	MS2	0.575220748804051	0.0869243704413336	77	77	1.66683966638818e-07	1.76357729410709e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Likely_combined	MS2	0.575782367394842	0.0870303883717262	77	77	1.69295745042315e-07	1.76357729410709e-06
k__Viruses.f__Retroviridae.g__Lentivirus	Likely_combined	MS2	0.573298314105897	0.086573454353159	77	77	1.5890397853323e-07	1.76357729410709e-06
k__Viruses.f__Luteoviridae.g__Polerovirus	Likely_combined	MS2	0.576372624683971	0.0871291912125576	77	77	1.71675787971386e-07	1.76357729410709e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Likely_combined	MS2	0.575031214750554	0.0862334348222607	77	75	1.43326537592345e-07	1.76357729410709e-06
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	Likely_combined	MS2	0.580592051702568	0.0865947425915864	77	77	1.47050768000504e-07	1.76357729410709e-06
k__Viruses.f__Poxviridae.g__Avipoxvirus	Likely_combined	MS2	0.578141427347366	0.0837553323705115	77	1	7.85045857867026e-08	1.76357729410709e-06
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus	Likely_combined	MS2	0.575331064375784	0.0868854550550409	77	77	1.64963127176521e-07	1.76357729410709e-06
