feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Selenomonadales.f__Selenomonadaceae.g__Propionispira	Putative_combined	MS2	0.740575304359625	0.107396333227644	77	75	4.0281570176125e-08	2.30276309506848e-05
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Syntrophobacterales.f__Syntrophaceae.g__Syntrophus	Putative_combined	MS2	0.741357464598573	0.107208672982965	77	77	3.79321378702234e-08	2.30276309506848e-05
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Neisseriales.f__Chromobacteriaceae.g__Deefgea	Putative_combined	MS2	0.896550115309915	0.125208051287092	77	77	1.80936283700832e-08	2.30276309506848e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Putative_combined	MS2	0.550276771994894	0.092141394758994	77	77	1.56360189923239e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus	Putative_combined	MS2	0.548205160321091	0.0931536476359204	77	75	1.81246651750501e-06	2.46392346581223e-05
k__Viruses.f__Poxviridae.g__Parapoxvirus	Putative_combined	MS2	0.551213723124903	0.0943489585531754	77	9	2.23065605014444e-06	2.46392346581223e-05
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Putative_combined	MS2	0.555085404288259	0.0941539735358874	77	40	2.17940028331899e-06	2.46392346581223e-05
k__Viruses.f__Circoviridae.g__Gyrovirus	Putative_combined	MS2	0.557946620145517	0.0943343626167041	77	75	2.30311752759899e-06	2.46392346581223e-05
k__Viruses.f__Caulimoviridae.g__Badnavirus	Putative_combined	MS2	0.555533986956824	0.0942390327664508	77	75	2.21824994744363e-06	2.46392346581223e-05
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Putative_combined	MS2	0.554890200364223	0.0947595097582583	77	76	2.42131708122224e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Putative_combined	MS2	0.556212958793104	0.0943689442069757	77	77	2.28082981642593e-06	2.46392346581223e-05
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Putative_combined	MS2	0.556416756129549	0.0938889124088855	77	75	2.10218925689478e-06	2.46392346581223e-05
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Putative_combined	MS2	0.541744287306569	0.0937015456785863	77	5	2.16066666933955e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__T5likevirus	Putative_combined	MS2	0.557601664566355	0.0946150952741036	77	77	2.40871207147279e-06	2.46392346581223e-05
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Putative_combined	MS2	0.556704984109487	0.0944044207755531	77	77	2.30508701291552e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Putative_combined	MS2	0.55042298260206	0.0942656794011139	77	77	2.19825010220987e-06	2.46392346581223e-05
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Putative_combined	MS2	0.554364060747033	0.0931794599137013	77	77	1.83441823429776e-06	2.46392346581223e-05
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Putative_combined	MS2	0.555558544691576	0.0942078464351528	77	72	2.20647395767141e-06	2.46392346581223e-05
k__Viruses.g__Pithovirus	Putative_combined	MS2	0.556163355123168	0.0937365297606523	77	75	2.04378418511188e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Putative_combined	MS2	0.554635843259695	0.0941701268985115	77	77	2.17946965043714e-06	2.46392346581223e-05
k__Viruses.f__Reoviridae.g__Cypovirus	Putative_combined	MS2	0.556620533709725	0.0938728963282702	77	62	2.10032988336376e-06	2.46392346581223e-05
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Putative_combined	MS2	0.553053928471541	0.0933133719711245	77	72	1.86503441429886e-06	2.46392346581223e-05
k__Viruses.f__Closteroviridae.g__Closterovirus	Putative_combined	MS2	0.550552454484107	0.0932477608329782	77	1	1.83525460376536e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Putative_combined	MS2	0.549499820298311	0.0938506291966266	77	43	2.04495877939896e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Putative_combined	MS2	0.556632731631458	0.0940585444096474	77	77	2.16855176868251e-06	2.46392346581223e-05
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Putative_combined	MS2	0.556746847839109	0.0942056915466565	77	77	2.22613986361707e-06	2.46392346581223e-05
k__Viruses.f__Retroviridae.g__Lentivirus	Putative_combined	MS2	0.556184844431428	0.0935540347354757	77	77	1.98144178644982e-06	2.46392346581223e-05
k__Viruses.f__Luteoviridae.g__Polerovirus	Putative_combined	MS2	0.556781386391535	0.0943487644466866	77	77	2.28247455757752e-06	2.46392346581223e-05
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Andromedalikevirus	Putative_combined	MS2	0.552978956719287	0.0935268241838431	77	75	1.934799225667e-06	2.46392346581223e-05
k__Viruses.f__Iridoviridae.g__Lymphocystivirus	Putative_combined	MS2	0.549784100224244	0.094385131368413	77	77	2.24640581564811e-06	2.46392346581223e-05
k__Viruses.f__Poxviridae.g__Avipoxvirus	Putative_combined	MS2	0.533510776014832	0.0915978353044305	77	1	1.70476594408705e-06	2.46392346581223e-05
k__Viruses.o__Picornavirales.f__Secoviridae.g__Cheravirus	Putative_combined	MS2	0.558948349122263	0.0941506464202812	77	75	2.25886846926959e-06	2.46392346581223e-05
k__Viruses.o__Ligamenvirales.f__Rudiviridae.g__Rudivirus	Putative_combined	MS2	0.556300808790464	0.0940456701869457	77	77	2.15784528518247e-06	2.46392346581223e-05
k__Viruses.f__Closteroviridae.g__Ampelovirus	Putative_combined	MS2	0.553525261536436	0.0939791969008385	77	77	2.09769036986762e-06	2.46392346581223e-05
k__Viruses.f__Papillomaviridae.g__Gammapapillomavirus	Putative_combined	MS2	0.551973007620772	0.0928497825999414	77	77	1.7154837760595e-06	2.46392346581223e-05
