feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Sfi1unalikevirus	Without_combined	MS2	0.63459963209	0.0923797683364799	77	77	8.76567812004147e-08	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__C2likevirus	Without_combined	MS2	0.630246003586675	0.0934381154511232	77	75	9.75473637428552e-08	1.79651991218501e-06
k__Viruses.f__Poxviridae.g__Parapoxvirus	Without_combined	MS2	0.632070444994688	0.0948707306417085	77	9	1.1842698648751e-07	1.79651991218501e-06
k__Viruses.f__Bicaudaviridae.g__Bicaudavirus	Without_combined	MS2	0.629729169403771	0.0950344364122639	77	40	1.29524991610023e-07	1.79651991218501e-06
k__Viruses.f__Circoviridae.g__Gyrovirus	Without_combined	MS2	0.630266495070423	0.0954736674364892	77	75	1.40475654793476e-07	1.79651991218501e-06
k__Viruses.f__Caulimoviridae.g__Badnavirus	Without_combined	MS2	0.629474394193023	0.0951656182937688	77	75	1.33051795275977e-07	1.79651991218501e-06
k__Viruses.f__Papillomaviridae.g__Betapapillomavirus	Without_combined	MS2	0.631393689327666	0.0956032149223679	77	76	1.36483818624707e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Podoviridae.g__Bcep22likevirus	Without_combined	MS2	0.629411874698729	0.0953582306151556	77	77	1.36761800634469e-07	1.79651991218501e-06
k__Viruses.o__Ligamenvirales.f__Lipothrixviridae.g__Deltalipothrixvirus	Without_combined	MS2	0.631155713889222	0.0948592091184252	77	75	1.26171904542811e-07	1.79651991218501e-06
k__Viruses.f__Poxviridae.g__Cervidpoxvirus	Without_combined	MS2	0.635240676213578	0.093561365384024	77	5	9.04971065526405e-08	1.79651991218501e-06
k__Viruses.f__Papillomaviridae.g__Mupapillomavirus	Without_combined	MS2	0.629443110634345	0.0954413679138395	77	77	1.39825900145161e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Lambdalikevirus	Without_combined	MS2	0.632251725691066	0.0947222534354123	77	77	1.1502992190013e-07	1.79651991218501e-06
k__Viruses.f__Papillomaviridae.g__Phipapillomavirus	Without_combined	MS2	0.632708484848206	0.0938928868720935	77	77	1.0806679623556e-07	1.79651991218501e-06
k__Viruses.f__Anelloviridae.g__Alphatorquevirus	Without_combined	MS2	0.629641685376226	0.0951315112899841	77	72	1.32265717976409e-07	1.79651991218501e-06
k__Viruses.g__Pithovirus	Without_combined	MS2	0.631571301510427	0.0946688497013454	77	75	1.22241993794858e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Barnyardlikevirus	Without_combined	MS2	0.630074391422079	0.0950029458291898	77	77	1.27300789980146e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__P100virus	Without_combined	MS2	0.63416191395378	0.0957769023732906	77	77	1.33463349849735e-07	1.79651991218501e-06
k__Viruses.f__Reoviridae.g__Cypovirus	Without_combined	MS2	0.631301472693643	0.0948573696843343	77	62	1.26159113146021e-07	1.79651991218501e-06
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Iltovirus	Without_combined	MS2	0.63167539374987	0.0939588542108326	77	72	1.08597337268626e-07	1.79651991218501e-06
k__Viruses.f__Closteroviridae.g__Closterovirus	Without_combined	MS2	0.630740967700176	0.0937111775884445	77	1	1.03646512071048e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Myoviridae.g__Viunalikevirus	Without_combined	MS2	0.631392632762649	0.0942255626839377	77	43	1.07234417400132e-07	1.79651991218501e-06
k__Viruses.o__Caudovirales.f__Siphoviridae.g__Phicbklikevirus	Without_combined	MS2	0.630652567222079	0.0950642448602705	77	77	1.30688916019063e-07	1.79651991218501e-06
k__Viruses.f__Fuselloviridae.g__Alphafusellovirus	Without_combined	MS2	0.630165055397272	0.0952325731898576	77	77	1.34665227923763e-07	1.79651991218501e-06
k__Viruses.f__Retroviridae.g__Lentivirus	Without_combined	MS2	0.632189511032847	0.0944623704850164	77	77	1.18310660003867e-07	1.79651991218501e-06
