file_id,raw_reads,not_human_reads,not_human_reads_after_qc,microbe_reads,id
025adeb7-dd68-47e3-b35c-0749e91304e7,125970988,2261928,267286,166068,TCGA-OR-A5JO-01A-11R-A29S-07
03a6d985-7385-4637-b55b-660e801326f1,157624926,3676278,295526,167702,TCGA-OR-A5J8-01A-11R-A29S-07
06c4729b-31e9-4795-bebc-f8588b311bf0,172502736,3416910,329432,195510,TCGA-OR-A5J7-01A-11R-A29S-07
06cc0bc6-1b36-4318-99ee-dfc83cc134c0,172067225,2075638,264916,171178,TCGA-OR-A5J2-01A-11R-A29S-07
097399b6-be8c-4a85-a5ce-399ad24e8680,144658984,5571402,174480,96296,TCGA-OR-A5K5-01A-11R-A29S-07
0984499c-19ef-4174-82ce-491a336f8e70,155233266,1772203,191610,117234,TCGA-OR-A5L8-01A-11R-A29S-07
0de20f2a-7664-478c-9e22-31e48336d786,168308688,2675510,133326,65080,TCGA-OR-A5L5-01A-11R-A29S-07
1026ea02-0009-403f-95bd-cde07dbdd21b,168371734,1761727,204710,137484,TCGA-OR-A5L3-01A-11R-A29S-07
126e4c65-dd29-4040-a256-8d5f2feac3dc,108453590,2122957,139404,103016,TCGA-OR-A5K3-01A-11R-A29S-07
131b7f88-7af4-4049-acd5-5060bf87391e,79516878,2385129,99024,61754,TCGA-OR-A5K8-01A-11R-A29S-07
15715423-a115-46fe-803a-a206e391a86b,69551575,920331,61934,41482,TCGA-OR-A5L9-01A-11R-A29S-07
16d289d4-a664-4827-a9e5-3b31de2a16a7,97465333,1455978,172270,121360,TCGA-OR-A5KZ-01A-11R-A29S-07
171e4e82-93ed-4be7-8b61-7c1df82bde0f,130470499,1648739,210108,136086,TCGA-OR-A5J3-01A-11R-A29S-07
17fd3deb-de89-494c-8dc4-5e2d8647863d,221028790,7121817,241500,115832,TCGA-OR-A5JF-01A-11R-A29S-07
1da5e904-1fff-45f9-bc76-88d50864ee55,172156561,2847740,290180,178642,TCGA-PK-A5H9-01A-11R-A29S-07
1fde266c-c236-4da4-9b59-4ac6aae51929,141193837,1955884,503546,238858,TCGA-OR-A5KW-01A-11R-A29S-07
29a5b8ad-0011-470c-bf34-1c74880b5b12,102978774,1826810,172628,109548,TCGA-OR-A5LE-01A-11R-A29S-07
2efca6e0-4edb-42a2-9d3a-ee8f25624bf9,92298286,1270741,134714,89924,TCGA-OR-A5LR-01A-11R-A29S-07
2f5d6a68-068e-45c9-aa94-a64e57031f30,99977187,1438415,149142,100508,TCGA-OR-A5JZ-01A-11R-A29S-07
32d1a985-ad2c-4046-873d-02416f5a68f3,166102818,2761333,318728,174270,TCGA-OR-A5J5-01A-11R-A29S-07
32e1cf1d-cf68-49a1-b299-2af98ca4902c,157246277,1999276,207896,135696,TCGA-OR-A5LA-01A-11R-A29S-07
363e5da6-0866-46d5-9d3a-f61f1b59e077,168200596,2081903,316722,205752,TCGA-OR-A5LJ-01A-11R-A29S-07
384c6a99-6bfd-48b3-8a00-da7d2ad767f8,133792133,1787564,229996,128716,TCGA-OR-A5LB-01A-11R-A29S-07
3b02ce94-fa3a-47f9-ae3a-ad288ed32432,147887256,2025697,243194,157848,TCGA-OR-A5JK-01A-11R-A29S-07
3e67f2c0-67cd-4097-9350-e7dce0848da4,140844680,1742025,290380,197700,TCGA-OR-A5JB-01A-11R-A29S-07
4100a850-68a9-4bb9-ae91-dd63d64cb1aa,85210307,1495319,139420,99722,TCGA-OR-A5K2-01A-11R-A29S-07
4414a69d-05c3-437d-83e2-efb95835726b,166340672,2498364,213170,143980,TCGA-OR-A5JR-01A-11R-A29S-07
4a907583-ed82-48fa-8ec7-aff91afcb31b,162159760,3055169,155382,76860,TCGA-OR-A5JI-01A-11R-A29S-07
51808cda-8154-4dfd-a251-5927cd2d3ef2,108033502,1718842,160958,91770,TCGA-OR-A5K0-01A-11R-A29S-07
55dbbb43-22fb-4803-bace-57580dcaed1e,92736609,1471701,123336,88364,TCGA-OR-A5K1-01A-11R-A29S-07
585a9779-b57c-40a9-92f7-39d10b579bba,99983383,2742815,135540,88264,TCGA-OR-A5LD-01A-11R-A29S-07
6bacf042-830f-47dd-bac3-5696aebf2574,163399991,2788013,245780,148752,TCGA-OR-A5J1-01A-11R-A29S-07
6bdfd354-391c-48d9-8bb4-fd62eab673b1,92114593,2100455,159122,108636,TCGA-OR-A5KU-01A-11R-A29S-07
