"","2031199_A5","B220819_C8","D15.01276.01","D18.02786.02","D19.01661.02","D20.00840.02","D21.00483.01","N181650.A7","N181650_A2","N190186.B1","N190393.A3","N191724.A2","N210403.B3","N211161.A4","N212541.A2","N220339.A4","X18.06732.02","X18.09852.02","X19.08326.02","Z0502927.A3","Z0520920.B3","Z0521061.B4","Z0521146.A2","Z0940919.A1","Z0952754.A2","a78804"
"Acetothermiia",0,0,0,0,0,0,0,0,0,0,0,0,0,105,207,0,0,0,0,0,0,0,0,0,39,0
"Occallatibacter",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
"d__Bacteria_Acidobacteriota_Acidobacteriae_Acidobacteriales_uncultured_uncultured",14,0,0,0,0,0,0,4,6,7,0,0,0,23,10,0,0,0,0,0,0,0,0,0,8,0
"Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,7,41,0,0,0,0,0,0,0,0,0,18,0
"Candidatus_Solibacter",9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Subgroup_13",7,0,11,4,0,0,0,0,3,0,17,0,0,17,0,0,3,15,0,0,0,0,0,0,172,0
"Subgroup_2",6,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,0
"Aminicenantales",2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11-24",0,0,6,0,0,0,135,0,0,0,10,0,0,26,48,0,2,6,6,0,0,0,0,0,142,0
"JGI_0001001-H03",0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,0,0,0,0,0,0,0,7,0
"d__Bacteria_Acidobacteriota_Blastocatellia_Blastocatellales_Blastocatellaceae_uncultured",11,0,0,101,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chloracidobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,115,275,0,0,0,0,0,0,0,0,0,79,0
"RB41",0,0,0,77,0,112,196,0,0,0,3,0,6,0,0,0,0,17,7,0,0,0,0,0,0,14
"Subgroup_7",4,0,0,344,3,9,650,0,7,0,11,6,5,0,0,0,0,23,38,0,11,0,0,0,0,45
"Subgroup_22",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Subgroup_5",0,0,0,0,84,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,0,0,0,0
"Subgroup_17",0,0,0,0,0,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3
"d__Bacteria_Acidobacteriota_Vicinamibacteria_Vicinamibacterales_uncultured_uncultured",4,0,0,0,0,5,534,0,0,54,8,0,0,0,0,0,0,7,12,0,7,0,8,0,0,28
"Vicinamibacter",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Vicinamibacteraceae",0,0,12,91,0,0,0,0,0,62,0,7,0,0,0,0,0,0,0,0,0,33,20,10,11,2
"Candidatus_Actinomarina",0,0,0,41,4,5,0,0,0,0,18,14,14,0,1280,15,0,2,0,15,3,0,0,0,0,24
"d__Bacteria_Actinobacteriota_Acidimicrobiia_Actinomarinales_uncultured_uncultured",22,0,0,0,0,0,0,5,11,82,0,0,0,0,5,0,0,0,0,0,0,31,5,4,0,0
"IMCC26256",3,0,0,0,4,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Iamia",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Actinobacteriota_Acidimicrobiia_Microtrichales_uncultured_uncultured",0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13
"0319-7L14",0,0,0,3,0,0,183,0,0,0,0,0,3,0,0,0,0,5,4,0,0,0,0,0,0,14
"Actinomyces",56,0,0,0,0,20,10,0,23,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0
"Aeriscardovia",11,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",0,0,0,6,0,0,0,154,0,17,0,0,0,0,158,0,0,0,0,0,0,33,25,30,0,13
"Gardnerella",280,0,0,0,0,0,0,0,37,0,0,0,0,0,31,0,0,0,0,0,0,14,0,0,0,0
"Corynebacterium",83,0,0,0,0,0,0,9,37,17,0,0,0,0,29,0,22,0,0,89,14,5,0,4,0,0
"Dietzia",17,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
"Mycobacterium",0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhodococcus",0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,4,0,11,0,0,0,0,0,0
"Antricoccus",4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hgcI_clade",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0
"Brevibacterium",8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agrococcus",23,24,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Agromyces",43,0,0,4,0,0,0,0,0,55,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0
"Candidatus_Aquiluna",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Frigoribacterium",42,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glutamicibacter",37,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kocuria",0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110
"Paeniglutamicibacter",35,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia",0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0
"Promicromonospora",3,0,0,0,0,0,0,0,27,22,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Micromonospora",0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgisporangium",14,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marmoricola",50,0,0,0,0,0,0,0,30,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Actinobacteriota_Actinobacteria_Propionibacteriales_Propionibacteriaceae_uncultured",15,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudonocardia",0,53,0,0,0,0,0,0,29,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
"Saccharopolyspora",39,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptomyces",0,0,0,0,0,0,0,11,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",348,1439,2,0,75,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"Coriobacteriaceae_UCG-002",8,0,0,0,0,0,0,19,3,10,0,0,0,0,0,0,0,0,0,0,4,7,12,11,2,0
"Olsenella",9,0,4,0,0,0,0,0,9,0,2,0,0,4,0,0,0,3,0,0,0,0,0,0,67,0
"Raoultibacter",0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriales_Incertae_Sedis_uncultured",0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNF00809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0,0
"Enterorhabdus",40,0,0,0,0,0,16,0,13,0,0,0,0,0,16,0,49,0,0,189,1370,4,7,8,0,11
"d__Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_uncultured",3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPB41",0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0
"MB-A2-108",7,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,8
"Rubrobacter",24,0,0,0,0,0,0,2,27,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0
"Gaiella",13,0,0,23,70,0,64,0,8,32,0,0,5,0,0,0,0,3,3,0,5,15,0,0,0,0
"d__Bacteria_Actinobacteriota_Thermoleophilia_Gaiellales_uncultured_uncultured",19,0,2,20,0,0,0,0,15,0,3,0,11,0,0,0,0,0,0,0,0,17,0,0,0,0
"67-14",16,0,0,0,0,0,0,0,10,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
"Conexibacter",0,0,0,0,0,0,2,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,95
"Parviterribacter",13,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Actinobacteriota_Thermoleophilia_Solirubrobacterales_Solirubrobacteraceae_uncultured",0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrogenobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0
"Chthonomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,50,184,0,0,0,0,0,0,0,0,0,28,0
"d__Bacteria_Armatimonadota_uncultured_uncultured_uncultured_uncultured",8,0,0,0,0,0,0,3,5,2,0,0,0,17,142,0,0,0,0,0,0,2,0,0,18,0
"Bacteroides",65,0,22,10,0,4,25,456,145,0,36,0,32,22,268,0,444,27,21,192,1535,0,158,68,828,12
"Bacteroidetes_vadinHA17",0,0,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Armantifilum",0,0,0,0,0,0,0,0,0,0,0,15,162,0,8,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Azobacteroides",0,0,0,9,7,0,0,0,0,0,7,14,546,0,4,5,0,0,0,0,0,0,0,0,0,4
"Candidatus_Symbiothrix",0,0,0,2,2,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fermentimonas",10,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Petrimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0
"Proteiniphilum",2,0,0,0,0,0,0,0,7,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Dysgonomonadaceae_uncultured",0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas",0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0
"Odoribacter",0,0,0,0,2,0,0,2,0,0,0,0,65,0,26,0,11,0,0,10,263,0,4,0,0,0
"Muribaculaceae",156,21,3,24,14,10,202,862,345,85,7,6,5,15,450,0,589,14,0,1922,16246,215,111,278,310,142
"Muribaculum",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,63,353,11,13,25,6,0
"p-2534-18B5_gut_group",0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Paludibacteraceae_uncultured",0,0,0,2,5,0,0,0,0,0,0,6,142,0,0,2,0,0,0,0,0,0,0,0,0,3
"Porphyromonas",30,0,83,90,7,48,80,0,17,0,3,0,166,0,22,0,0,100,66,5,3,0,0,0,0,2
"Alloprevotella",15,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,22,6,0,19,252,0,0,0,0,2
"Prevotella",3,0,5,0,112,0,0,0,2,9,2,0,0,0,39,0,4,2,0,0,18,21,0,4,29,0
"Prevotellaceae_UCG-001",0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,12,0,0,43,249,0,0,0,22,8
"Prevotellaceae_UCG-003",12,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0
"d__Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prolixibacteraceae_uncultured",0,0,0,314,4,0,0,0,0,0,8,6,7,0,4,0,0,0,0,0,0,0,0,0,0,7
"Alistipes",0,11,0,5,9,0,3,55,27,2,3,2,2,3,442,0,36,0,0,30,355,12,47,2,69,7
"Rikenella",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,0,3,20,143,0,0,0,0,2
"Rikenellaceae_RC9_gut_group",0,0,32,83,0,0,5,0,26,0,29,2,0,35,85,0,21,60,0,42,439,7,0,0,1064,3
"Rs-E47_termite_group",0,0,0,0,2,0,0,0,0,0,0,4,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"SB-5",3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Vestibaculum",0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0
