"","c__Acidimicrobiia","c__Acidithiobacillia","c__Acidobacteriia","c__Actinomycetia","c__Alphaproteobacteria","c__Alsuviricetes","c__Amabiliviricetes","c__Anaerolineae","c__Aquificae","c__Archaeoglobi","c__Ardenticatenia","c__Atribacteria","c__Bacilli","c__Bacteroidia","c__Betaproteobacteria","c__Blastocatellia","c__Caldilineae","c__Caldisericia","c__Calditrichia","c__Candidatus_Babeliae","c__Candidatus_Brocadiia","c__Candidatus_Methanoliparia","c__Candidatus_Micrarchaeia","c__Candidatus_Nanohalobia","c__Candidatus_Saccharimonia","c__Candidatus_Thermofonsia","c__Candidatus_Uabimicrobiia","c__Caudoviricetes","c__Chitinophagia","c__Chlamydiia","c__Chlorobia","c__Chloroflexia","c__Chrysiogenetes","c__Chthonomonadetes","c__Clostridia","c__Conexivisphaeria","c__Coprothermobacteria","c__Coriobacteriia","c__Cytophagia","c__Deferribacteres","c__Dehalococcoidia","c__Deinococci","c__Deltaproteobacteria","c__Dictyoglomia","c__Ellioviricetes","c__Elusimicrobia","c__Endomicrobia","c__Epsilonproteobacteria","c__Erysipelotrichia","c__Faserviricetes","c__Fibrobacteria","c__Fimbriimonadia","c__Flavobacteriia","c__Fusobacteriia","c__Gammaproteobacteria","c__Gemmatimonadetes","c__Gloeobacteria","c__Halobacteria","c__Herviviricetes","c__Holophagae","c__Hydrogenophilalia","c__Ignavibacteria","c__Kiritimatiellae","c__Ktedonobacteria","c__Limnochordia","c__Malgrandaviricetes","c__Megaviricetes","c__Methanobacteria","c__Methanococci","c__Methanomicrobia","c__Methylacidiphilae","c__Mollicutes","c__Naldaviricetes","c__Negativicutes","c__Nitriliruptoria","c__Nitrososphaeria","c__Nitrospira","c__Oligoflexia","c__Opitutae","c__Papovaviricetes","c__Phycisphaerae","c__Pisoniviricetes","c__Planctomycetia","c__Pokkesviricetes","c__Revtraviricetes","c__Rubrobacteria","c__Saprospiria","c__Spartobacteria","c__Sphingobacteriia","c__Spirochaetia","c__Stelpaviricetes","c__Synergistia","c__Tectiliviricetes","c__Tepidiformia","c__Thermococci","c__Thermodesulfobacteria","c__Thermodesulfovibrionia","c__Thermoleophilia","c__Thermomicrobia","c__Thermoplasmata","c__Thermoprotei","c__Thermotogae","c__Tichowtungiia","c__Tissierellia","c__Tolucaviricetes","c__un_k__Bacteria","c__un_p__Bacteroidetes","c__un_p__Balneolaeota","c__un_p__Candidatus_Absconditabacteria","c__un_p__Candidatus_Bipolaricaulota","c__un_p__Candidatus_Cloacimonetes","c__un_p__Candidatus_Korarchaeota","c__un_p__Candidatus_Lokiarchaeota","c__un_p__Candidatus_Omnitrophica","c__un_p__Candidatus_Saccharibacteria","c__un_p__Candidatus_Thermoplasmatota","c__un_p__Chloroflexi","c__un_p__Cyanobacteria","c__un_p__Firmicutes","c__un_p__Tenericutes","c__un_p__Thaumarchaeota","c__un_p__Verrucomicrobia","c__Verrucomicrobiae","c__Vicinamibacteria","c__Zetaproteobacteria","cancertype"
"TCGA-RW-A68G-01",0,0,0,437,0,0,0,0,225,0,0,0,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SP-A6QD-01",0,0,0,564,0,0,0,0,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-W2-A7HC-01",0,0,0,332,0,0,0,0,0,0,0,0,13581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-XG-A823-01",0,0,0,714,0,0,0,0,0,0,0,0,14597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A80V-01",0,0,0,605,0,0,0,0,0,0,0,0,11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SQ-A6I4-11",0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A688-01",0,0,0,78,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A68D-01",0,0,0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A684-01",0,0,0,628,0,0,0,0,0,0,0,0,17173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A67X-01",0,0,0,422,0,0,0,0,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
