"","o__Acanthopleuribacterales","o__Acholeplasmatales","o__Acidaminococcales","o__Acidiferrobacterales","o__Acidilobales","o__Acidimicrobiales","o__Acidithiobacillales","o__Acidobacteriales","o__Acidothermales","o__Actinomycetales","o__Actinopolysporales","o__Aeromonadales","o__Algavirales","o__Alteromonadales","o__Anaerolineales","o__Aquificales","o__Archaeoglobales","o__Ardenticatenales","o__Atribacterales","o__Bacillales","o__Bacteriovoracales","o__Bacteroidales","o__Bacteroidetes_Order_II._Incertae_sedis","o__Bdellovibrionales","o__Bifidobacteriales","o__Brachyspirales","o__Bradymonadales","o__Bryobacterales","o__Bunyavirales","o__Burkholderiales","o__Caldilineales","o__Caldisericales","o__Calditrichales","o__Campylobacterales","o__Candidatus_Absconditabacterales","o__Candidatus_Babeliales","o__Candidatus_Brocadiales","o__Candidatus_Methanoliparales","o__Candidatus_Micrarchaeales","o__Candidatus_Nanohalobiales","o__Candidatus_Nanopelagicales","o__Candidatus_Nanosynbacterales","o__Candidatus_Sulfidibacteriales","o__Candidatus_Uabimicrobiales","o__Cardiobacteriales","o__Catenulisporales","o__Caudovirales","o__Caulobacterales","o__Cellvibrionales","o__Chitinophagales","o__Chitovirales","o__Chlamydiales","o__Chlorobiales","o__Chloroflexales","o__Chromatiales","o__Chroococcales","o__Chroococcidiopsidales","o__Chrysiogenales","o__Chthonomonadales","o__Conexivisphaerales","o__Coprothermobacterales","o__Coriobacteriales","o__Corynebacteriales","o__Crassvirales","o__Cytophagales","o__Deferribacterales","o__Dehalococcoidales","o__Deinococcales","o__Desulfarculales","o__Desulfobacterales","o__Desulfovibrionales","o__Desulfurellales","o__Desulfurobacteriales","o__Desulfurococcales","o__Desulfuromonadales","o__Dictyoglomales","o__Eggerthellales","o__Egibacterales","o__Egicoccales","o__Elusimicrobiales","o__Emcibacterales","o__Endomicrobiales","o__Enterobacterales","o__Entomoplasmatales","o__Erysipelotrichales","o__Eubacteriales","o__Euzebyales","o__Fervidicoccales","o__Fibrobacterales","o__Fimbriimonadales","o__Flavobacteriales","o__Frankiales","o__Fusobacteriales","o__Gemmatales","o__Gemmatimonadales","o__Geodermatophilales","o__Gloeobacterales","o__Gloeomargaritales","o__Glycomycetales","o__Halanaerobiales","o__Halobacteriales","o__Haloferacales","o__Herpesvirales","o__Holosporales","o__Hydrogenophilales","o__Hyphomicrobiales","o__Hyphomonadales","o__Ignavibacteriales","o__Immundisolibacterales","o__Isosphaerales","o__Jatrophihabitantales","o__Jiangellales","o__Kangiellales","o__Kineosporiales","o__Kiritimatiellales","o__Koleobacterales","o__Kordiimonadales","o__Kosmotogales","o__Ktedonobacterales","o__Lactobacillales","o__Lefavirales","o__Legionellales","o__Leptospirales","o__Limnochordales","o__Magnetococcales","o__Maricaulales","o__Marinilabiliales","o__Mariprofundales","o__Martellivirales","o__Mesoaciditogales","o__Methanobacteriales","o__Methanocellales","o__Methanococcales","o__Methanomassiliicoccales","o__Methanomicrobiales","o__Methanosarcinales","o__Methanotrichales","o__Methylacidiphilales","o__Methylococcales","o__Micrococcales","o__Micromonosporales","o__Miltoncostaeales","o__Moraxellales","o__Mycoplasmatales","o__Mycoplasmoidales","o__Myxococcales","o__Nakamurellales","o__Natranaerobiales","o__Natrialbales","o__Nautiliales","o__Neisseriales","o__Nevskiales","o__Nitrosomonadales","o__Nitrosopumilales","o__Nitrososphaerales","o__Nitrospirales","o__Nostocales","o__Oceanospirillales","o__Opitutales","o__Orbales","o__Ortervirales","o__Oscillatoriales","o__Parachlamydiales","o__Parvularculales","o__Pasteurellales","o__Patatavirales","o__Pelagibacterales","o__Petitvirales","o__Petrotogales","o__Phototrophicales","o__Phycisphaerales","o__Picornavirales","o__Pimascovirales","o__Pirellulales","o__Planctomycetales","o__Pleurocapsales","o__Propionibacteriales","o__Pseudanabaenales","o__Pseudomonadales","o__Pseudonocardiales","o__Puniceicoccales","o__Rhodobacterales","o__Rhodocyclales","o__Rhodospirillales","o__Rickettsiales","o__Rowavirales","o__Rubrobacterales","o__Salinisphaerales","o__Saprospirales","o__Sedimentisphaerales","o__Selenomonadales","o__Sepolyvirales","o__Silvanigrellales","o__Sobelivirales","o__Solirubrobacterales","o__Sphaerobacterales","o__Sphingobacteriales","o__Sphingomonadales","o__Spirochaetales","o__Sporichthyales","o__Stellavirales","o__Streptomycetales","o__Streptosporangiales","o__Sulfolobales","o__Synechococcales","o__Synergistales","o__Syntrophales","o__Syntrophobacterales","o__Tepidiformales","o__Tepidisphaerales","o__Thermales","o__Thermoanaerobacterales","o__Thermococcales","o__Thermodesulfobacteriales","o__Thermodesulfovibrionales","o__Thermomicrobiales","o__Thermoplasmatales","o__Thermoproteales","o__Thermosediminibacterales","o__Thermostichales","o__Thermotogales","o__Thermotomaculales","o__Thiotrichales","o__Tichowtungiales","o__Tissierellales","o__Tolivirales","o__Trueperales","o__Tubulavirales","o__Tymovirales","o__un_c__Alphaproteobacteria","o__un_c__Betaproteobacteria","o__un_c__Blastocatellia","o__un_c__Dehalococcoidia","o__un_c__Deltaproteobacteria","o__un_c__Gammaproteobacteria","o__un_c__Spartobacteria","o__un_c__Tissierellia","o__un_k__Bacteria","o__un_p__Balneolaeota","o__un_p__Candidatus_Bipolaricaulota","o__un_p__Candidatus_Cloacimonetes","o__un_p__Candidatus_Korarchaeota","o__un_p__Candidatus_Lokiarchaeota","o__un_p__Candidatus_Omnitrophica","o__un_p__Candidatus_Saccharibacteria","o__un_p__Candidatus_Thermoplasmatota","o__un_p__Chloroflexi","o__un_p__Cyanobacteria","o__un_p__Firmicutes","o__un_p__Tenericutes","o__un_p__Thaumarchaeota","o__un_p__Verrucomicrobia","o__Veillonellales","o__Verrucomicrobiales","o__Vibrionales","o__Vicinamibacterales","o__Wolframvirales","o__Xanthomonadales","cancertype"
"TCGA-RW-A68G-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,55,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SP-A6QD-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-W2-A7HC-01",0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,0,5672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-XG-A823-01",0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,581,0,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,0,0,0,0,0,76,16,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A80V-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,15544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SQ-A6I4-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A688-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A68D-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A684-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,12838,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A67X-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PCPG"
