"","p__Acidobacteria","p__Actinobacteria","p__Aquificae","p__Armatimonadetes","p__Artverviricota","p__Atribacterota","p__Bacteroidetes","p__Balneolaeota","p__Caldiserica","p__Calditrichaeota","p__Candidatus_Absconditabacteria","p__Candidatus_Bipolaricaulota","p__Candidatus_Cloacimonetes","p__Candidatus_Korarchaeota","p__Candidatus_Lokiarchaeota","p__Candidatus_Micrarchaeota","p__Candidatus_Nanohaloarchaeota","p__Candidatus_Omnitrophica","p__Candidatus_Saccharibacteria","p__Candidatus_Thermoplasmatota","p__Chlamydiae","p__Chlorobi","p__Chloroflexi","p__Chrysiogenetes","p__Coprothermobacterota","p__Cossaviricota","p__Crenarchaeota","p__Cyanobacteria","p__Deferribacteres","p__Deinococcus-Thermus","p__Dictyoglomi","p__Elusimicrobia","p__Euryarchaeota","p__Fibrobacteres","p__Firmicutes","p__Fusobacteria","p__Gemmatimonadetes","p__Hofneiviricota","p__Ignavibacteriae","p__Kiritimatiellaeota","p__Kitrinoviricota","p__Lenarviricota","p__Negarnaviricota","p__Nitrospirae","p__Nucleocytoviricota","p__Peploviricota","p__Phixviricota","p__Pisuviricota","p__Planctomycetes","p__Preplasmiviricota","p__Proteobacteria","p__Spirochaetes","p__Synergistetes","p__Tenericutes","p__Thaumarchaeota","p__Thermodesulfobacteria","p__Thermotogae","p__un_k__Bacteria","p__Uroviricota","p__Verrucomicrobia","cancertype"
"TCGA-RW-A68G-01A",0,644,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,1157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43992,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SP-A6QD-01A",0,588,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63019,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-W2-A7HC-01A",0,563,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,13581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20360,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-XG-A823-01A",0,763,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,14778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84744,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-WB-A80V-01A",0,622,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,11430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71034,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-SQ-A6I4-11A",0,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35952,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A688-01A",0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29510,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A68D-01A",0,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A684-01A",0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,17173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59868,0,0,0,0,0,0,0,0,0,"PCPG"
"TCGA-RW-A67X-01A",0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,1466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36688,0,0,0,0,0,0,0,0,0,"PCPG"
