"id","alpha","alpha_rf","alpha_f_likely","alpha_f_likely_rf","alpha_f_PC","alpha_f_PC_rf","alpha_f_Putative","alpha_f_Putative_rf","alpha_f_Strigent","alpha_f_Strigent_rf","alpha_Vir","alpha_Vir_rf","alpha_Vir_f_Likely","alpha_Vir_f_Likely_rf","alpha_Vir_f_PC","alpha_Vir_f_PC_rf","alpha_Vir_f_Putative","alpha_Vir_f_Putative_rf","alpha_Arc","alpha_Arc_rf","alpha_Arc_f_Likely","alpha_Arc_f_Likely_rf","alpha_Arc_f_PC","alpha_Arc_f_PC_rf","alpha_Arc_f_Putative","alpha_Arc_f_Putative_rf","alpha_Bac","alpha_Bac_rf","alpha_Bac_f_Likely","alpha_Bac_f_Likely_rf","alpha_Bac_f_PC","alpha_Bac_f_PC_rf","alpha_Bac_f_Putative","alpha_Bac_f_Putative_rf","alpha_Bac_f_Strigent","alpha_Bac_f_Strigent_rf"
"s102",3.53930440401846,3.53440998857905,3.34616298474687,3.34843798590841,3.46543462293666,3.46584555714983,3.30372372626404,3.46584555714983,2.01006090042142,2.01161205086613,3.03919049429704,2.623803337775,2.84133497473594,2.68484673825088,2.97559587751462,2.59434691460736,2.81504157957922,2.55582621279553,1.53731862259471,1.58781706452228,0.866981077924993,0.836842464802578,1.47530352637395,1.52331891651455,0.866981077924993,0.72315878270439,3.51402543335291,3.51030912822337,3.32498791223079,3.32612925445979,3.42141942037099,3.41884394265165,3.26645965906866,3.27438964939827,1.95841415755811,1.94548178164745
"s103",3.07720403523954,3.07557776438147,2.94333196868991,2.94107871405858,2.82355023386462,2.82287781870846,2.72551539606641,2.82287781870846,1.85993202576579,1.8338147978482,2.43170058389918,2.12507179086645,2.2662148695771,2.34505224998366,2.43170058389918,2.26430365048205,2.2662148695771,1.92740569501671,1.63202311579606,1.3632050154061,1.11473392376386,0.995455236626051,1.54277772262837,1.51941985968227,1.09027705823564,0.970059208688398,3.05512936308607,3.05696913516266,2.92383971962017,2.9213995851438,2.78415109096797,2.78527393305207,2.69087435571175,2.67108726639658,1.81078117078791,1.76584181972943
"s104",2.43091183024102,2.43287486684177,2.27280149303491,2.27022537642954,1.76531166427469,1.75304531959922,1.66989578104567,1.75304531959922,1.92031831316772,1.91692406923278,3.005689710258,2.65111887966032,2.82635500254939,2.59896103990526,2.99278904246286,2.85257632000323,2.79751852252644,2.59381220079221,1.71283135309195,1.59041340070205,1.02728763952668,1.02066217382291,1.68991251105293,1.55843121896823,1.02728763952668,0.79589494613037,2.41348708115611,2.41666835102882,2.25898831042217,2.25437248110792,1.74230984093885,1.72750463035436,1.6520402703171,1.64829052016149,1.86497810673232,1.9065142062009
"s105",3.63831637002958,3.64247834147224,3.42961036058666,3.41692160533304,3.4399496965479,3.43338612612952,3.26707543167195,3.43338612612952,1.91278215648359,1.92105879694153,3.26507821953481,3.0421337163848,3.09201945460797,2.87880714606524,3.25269349984287,2.70841756684783,3.07776566798275,2.69306025471319,1.76091024434092,1.85976103902395,1.0849390538488,1.04719700146802,1.76091024434092,1.55781986418382,1.0849390538488,0.998987503873296,3.60762636058609,3.60221683918182,3.40436413003224,3.40487191801972,3.3852932953725,3.37924485306059,3.22304309684073,3.22702416859671,1.85690717562838,1.866604846478
"s106",2.71068504797165,2.71399635773409,2.57482895788652,2.57917785436154,2.67275707894605,2.67386503551392,2.56773102765867,2.67386503551392,1.93001960124733,1.93895973223227,2.89447739795246,2.65075784460348,2.66498468921376,2.32855118465653,2.86624631670067,2.42516966312382,2.66498468921376,2.3912267246857,1.55300102309353,1.35795188854455,0.806806474944108,0.660744873329978,1.52596387871477,1.48512827447423,0.806806474944108,0.828097406495813,2.69001615148174,2.68810228350109,2.55841391991184,2.55342169936312,2.63470038509974,2.64684247602057,2.53752987601565,2.53999030629442,1.86450067227463,1.86472915702589
"s107",1.72045414874398,1.72031293197103,1.60834662194389,1.60981910592694,1.08344655589971,1.05856244008332,1.00857136456759,1.05856244008332,1.99206060138976,1.97185656456635,1.12236413235216,1.14983429444534,1.02893702616178,0.740524334148263,1.10799489644071,0.98560544993015,1.01414807526505,0.734668962959347,1.86291730520177,1.85110165155015,1.35311917102519,1.26098256042679,1.79218468605013,1.70097482400521,1.35311917102519,1.35073748748657,1.69984841145635,1.70986320674408,1.58947460512256,1.59559538598373,1.0578651532659,1.04096069049883,0.985251547465151,0.977461245627681,1.83043990966978,1.86630413870876
"s108",3.51560571025203,3.49858637949208,3.32004158268544,3.31987806532147,3.61621817828291,3.61386328167941,3.443481763894,3.61386328167941,2.0007413147014,1.99467174242416,2.95931247128458,2.43934072362839,2.71148929720903,2.47253164330658,2.94476183849239,2.53189351157241,2.69434306893974,2.78979397153501,1.90004494642643,1.80544870705027,1.25472797646587,1.4826626384565,1.88686141015731,1.82700827353896,1.2330904846255,0.817927868412051,3.48683744090994,3.48107336350722,3.29747755667321,3.29121375573829,3.56390748454022,3.55412633749461,3.40267862488108,3.40178544283098,1.9517495804749,1.94434769016324
"s109",3.78512996550361,3.78844502486104,3.58281384861407,3.57362801380823,3.74526916651922,3.7586461158689,3.56682976896911,3.7586461158689,2.02061839671883,2.03678569099627,3.11938010759014,2.84954958678776,2.9073837304183,2.68615803333882,3.08420143002303,2.69507272099804,2.85856978282748,2.62899823630206,1.68636072799329,1.69518981615124,0.950784786595456,1.03066869709896,1.66963043944477,1.51537156286914,0.950784786595456,0.723040804018589,3.74887760024202,3.74972181074488,3.55473715713004,3.55076423330514,3.68383244858521,3.6736957279295,3.51969799354606,3.52205562073224,1.96329840355579,1.97010735761333
"s110",3.10131099238511,3.09898409469822,3.39856561200545,3.39085821147666,3.51325123234362,3.51824304570306,3.32741980029168,3.51824304570306,2.00730731927266,2.00053247314633,2.62666270886564,2.47818954098062,2.41235300570776,1.96686136845573,2.6142709363682,2.57637758492611,2.38906935644747,2.35478516545693,1.51905941349426,1.51414918587505,0.8180572586218,0.567851291727674,1.50775943634197,1.41505864387814,0.8180572586218,0.58224149065286,3.07369538897088,3.0621649803564,3.37087401357509,3.36383010756763,3.45563179433722,3.45625421523118,3.28076209432106,3.28806922247323,1.94473300554059,1.95183553430242
"s111",3.45014474863142,3.44037875852629,3.23784445220904,3.23907882170085,3.4216997588853,3.40285640534251,3.2275911219626,3.40285640534251,2.04281108193174,2.01011074730333,2.75075699507808,2.46798474130965,2.48795036569542,2.47227985914769,2.73883737477646,2.66212635465238,2.4743406258538,2.17074394411108,1.68350109089045,1.56403547146089,1.01101362790588,1.07298973996077,1.65003084665945,1.60328590503348,1.01101362790588,0.790033232929605,3.41814917115306,3.41136349847952,3.21223681938921,3.20854460785569,3.36461804056772,3.36759290255276,3.18186925503795,3.18059993460486,1.98611340488596,1.99414806318856
