feature,coef_without.x,qval_without.x,coef_likely.x,qval_likely.x,coef_PC.x,qval_PC.x,coef_putative.x,qval_putative.x,coef_without.y,qval_without.y,coef_likely.y,qval_likely.y,coef_PC.y,qval_PC.y,coef_putative.y,qval_putative.y,coef_without.x,qval_without.x,coef_likely.x,qval_likely.x,coef_PC.x,qval_PC.x,coef_putative.x,qval_putative.x,coef_without.y,qval_without.y,coef_likely.y,qval_likely.y,coef_PC.y,qval_PC.y,coef_putative.y,qval_putative.y,avg.coef,avg.qval,log.avg.qval,class
k__Archaea.p__Thaumarchaeota.g__Candidatus_Nitrosopelagicus,-2.7009503147680345,2.442127524133702e-4,-1.9511870573770353,0.007753713750955883,-2.488015403450113,2.984867662060621e-4,-2.3089249737962727,0.001759485224258241,-2.728445767804249,2.0287782365409834e-4,-1.957996767166769,0.006420529418728008,-2.4976574372526863,2.415200013711958e-4,-2.3061828995477045,0.0016324907175873805,-2.3384399435938876,5.597486049364911e-4,-1.8450004836924478,0.008169678378947292,-2.2948629888794376,4.0819018282704203e-4,-2.030069393361934,0.00193579609310957,-2.590914195966213,2.0093526510026882e-4,-1.8595381342710673,0.006368234048450106,-2.3645654823195823,2.5876895268455325e-4,-2.1229316750538927,0.0018845036404081677,-2.274105182393833,0.0023961982263523583,6.033871869950571,Enrich_MS1
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Capnocytophaga,-2.02410744586018,0.002561557720911901,-1.8999216655999878,0.004853953580517407,-1.6588386229863548,0.008946624668589824,-2.0275174770738054,7.468684101921506e-4,-2.037958810025194,0.0019366989294959502,-1.8306330926665648,0.005104260082071711,-1.6555097660211011,0.007477316145539584,-2.036731036646853,5.113490349135722e-4,-1.81425918676199,0.004615601855551841,-1.7498239191474831,0.007081898028529741,-1.4546348516392213,0.016060027388533484,-1.886749615548875,0.0010428484614105672,-1.9043360076440048,0.0025623296446883933,-1.7611798565817156,0.005476807362158054,-1.5324800132062888,0.009737516958601195,-1.8808677411623527,8.517041380175259e-4,-1.8222218192857482,0.004972960150607681,5.303740012431112,Enrich_MS1
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus,-1.3374333892275716,0.0015378915877523732,-1.1429387597163787,0.004699495651329363,-1.2215243980203694,0.0018926862436702537,-1.0378566790834816,0.014670379798304602,-1.3786486980256523,0.001050448071669103,-1.1448190344977551,0.004520254795367435,-1.2349056692527587,0.004411319098628517,-1.0307773589881193,0.016143712230892893,-1.1480725891375139,0.003095370509616628,-1.0323857849212055,0.006186155156733397,-1.0022700752136298,0.008536368242721103,-0.8462193530292188,0.033116516442963255,-1.2408853023645459,0.001204794357841902,-1.049976397917068,0.004276880340738574,-1.0844073505442016,0.003744947120929666,-0.8545804295683141,0.025363663472389438,-1.1117313293442366,0.008403180195096782,4.779145050127363,Enrich_MS1
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Aeromonadales.f__Aeromonadaceae.g__Aeromonas,-1.1628652035281142,0.009766496838730716,-0.9644715559592623,0.022150789819909807,-1.1341627183142793,0.006053572999762219,-1.18448985579828,0.004357150362347622,-1.2057194324773932,0.004467221374945754,-0.9474317400848908,0.018082270906996867,-1.1579101379125791,0.0034215450546163937,-1.2110444214874934,0.0023939911662833983,-0.9714717651916662,0.015037777783297719,-0.8407029735627884,0.02935605675923922,-0.947260614491419,0.011098451552609257,-1.0328048379091268,0.006202986228005926,-1.035842625493904,0.008310280920232182,-0.8547468458066056,0.021474183193349948,-1.017343522072396,0.0058123147695562545,-1.0434003338404192,0.004348050419921481,-1.0444792864956636,0.010770821259362798,4.530914536369821,Enrich_MS1
k__Viruses.o__Herpesvirales.f__Herpesviridae.g__Simplexvirus,-1.1131610834625714,0.004113026692354501,-0.9482950940987186,0.013859591480131756,-1.0083890839283969,0.008012560653405856,-0.8357252499275563,0.028682958823651128,-1.1730951036194994,0.0028660143760150416,-0.955036343027833,0.01305661422780762,-1.0492854123138144,0.006375515613396069,-0.8836063550863292,0.021295898752957444,-0.9637979170830958,0.009125553466697895,-0.8420261344626385,0.022913400616184076,-0.8477102525355994,0.01959753972934925,-0.7258317503243884,0.045879870050424036,-1.0319096133502226,0.005226182667335511,-0.8652358591893143,0.017568694598796106,-0.910934355595811,0.011680200995639007,-0.735800178316345,0.03939058954513267,-0.9306149866451334,0.016852763268079874,4.0832406434581,Not
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Anaplasmataceae.g__Wolbachia,-0.9694420629435173,0.0011902383707739512,-0.9351145590918486,6.080591820047907e-4,-0.8921062371385634,0.0016370977477628106,-0.9966932822261758,3.5154161808457037e-4,-1.005330749482102,7.574723675187253e-4,-0.9159640018961581,7.039605767155448e-4,-0.9527301479202256,0.0038090437413088154,-1.0274354782500834,0.0011806916521821433,-0.7903225261191458,0.005002853556267522,-0.8236043800121198,0.0014457754567700223,-0.7855708062771664,0.007322814213537126,-0.9264760922557488,8.865769432004014e-4,-0.8433074283660666,0.0018669449884896481,-0.8268852772784631,8.368350289676503e-4,-0.8058580257650886,0.0049866081396371335,-0.9056082856663681,8.096594345738424e-4,-0.9001530837930526,0.0020872608136121686,6.171902688109636,Not
k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Riemerella,-0.9565088633638099,0.015276692206959975,-1.0599212579362196,0.008793944148524378,-0.9727664149362475,0.007843929808121581,-0.9593113598787928,0.00773273540123524,-0.9631658421029551,0.01079332415619739,-0.978059122215134,0.008084094622213364,-0.9724377610145745,0.0051649102869644244,-0.9594298451949381,0.005259200481801583,-0.7165338725133081,0.04117625528686405,-0.8569388772806117,0.013445916227789892,-0.7487996373718155,0.021758095438203243,-0.7822043571711882,0.014603648510641831,-0.7819437648859778,0.025900121803032753,-0.8654727600562963,0.011846703539272536,-0.7758859244288921,0.018065410067713977,-0.7894270048251482,0.01288913119492018,-0.8836754165734944,0.014289632073778525,4.248221034483193,Not
k__Viruses.f__Polydnaviridae.g__Ichnovirus,-0.8277447404555317,0.005382433614109263,-0.8046909124820355,0.003956945111011224,-0.8628454027712817,0.0036416468419167526,-0.9311857241288635,0.008421903775981792,-0.8947898304771783,0.0032111073799951364,-0.8107024567153462,0.003970288003255083,-0.8950744410072287,0.003674416605655434,-1.0024910241074232,2.1251450300579461e-4,-0.7033772308513013,0.011166635842176413,-0.7355400058472084,0.004549767156794615,-0.6866258619459235,0.013893745261841497,-0.8334970818450717,0.0030594862947960727,-0.763034647178151,0.0036660106170532587,-0.7305904002750505,0.0027799807058486955,-0.7527190386040696,0.004438530758150812,-0.8056916144828766,0.00789136586605878,-0.8150375258234088,0.005244798646103164,5.2505184275555905,Not
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Colwelliaceae.g__Colwellia,-0.9436127162093065,0.0027282202418010947,-0.7015032870552897,0.022164947138777476,-0.9165944232244119,0.0017120662207285994,-0.9526038617667313,0.001352740958784916,-0.9160755916708986,0.0056130149330970895,-0.7082328182715029,0.029784753253860728,-0.9330377018317938,0.0029871122779566847,-0.9588722038945202,0.0029012463982714515,-0.7241445268701224,0.016522388281718665,-0.5961492263751567,0.044753880961564824,-0.7314619584689441,0.009421494310205312,-0.7717809485526662,0.012874324790760516,-0.8252641390207891,0.00515281196793807,-0.6184323890259219,0.029965632435986572,-0.7952795063287482,0.003770873831881267,-0.7894598813035302,0.006857758928834621,-0.8051565737418959,0.012410204183260493,4.389236226777645,Not
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Mannheimia,-0.8201487309448452,0.0013654484542960932,-0.8010014047019633,0.0010224742033951742,-0.7410063244254795,0.0037975759078132856,-0.7586284613444573,0.0014311097101510552,-0.8812125164612711,2.5054177586888207e-4,-0.8097426078117924,4.2143604862441474e-4,-0.7897945338193882,0.0011162968101324758,-0.8061622254019174,2.917205028166764e-4,-0.673322252866414,0.003477545471390617,-0.6994353428994177,0.0014723474092712885,-0.5846471644497234,0.011378558562346422,-0.646445012984637,0.00266842048163701,-0.7280490421880507,0.0013175795620990528,-0.7131480335841188,9.509737953775295e-4,-0.6194126706548125,0.006332483345608463,-0.6563206400708044,0.0018096058661759052,-0.7330298102880684,0.0024440073691877717,6.014116222461388,Not
