"","genus","HR_without","pvalue_without","HR_likely","pvalue_likely","HR_PC","pvalue_PC","HR_putative","pvalue_putative"
"g__Candidatus_Nitrosopelagicus","k__Archaea.p__Thaumarchaeota.g__Candidatus_Nitrosopelagicus",1.14922900272877,0.734399649187487,0.925987570271623,0.850722619033111,0.925987570271623,0.850722619033111,0.925987570271623,0.850722619033111
"g__Kineosporia","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Kineosporiales.f__Kineosporiaceae.g__Kineosporia",1.9512105813584,0.113618910727167,3.23933201120921,0.00933367795813981,3.18989745362171,0.0101191731827022,3.18989745362171,0.0101191731827022
"g__Yaniella","k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales.f__Micrococcaceae.g__Yaniella",1.9213371547531,0.123876691593902,1.98547097770738,0.106196881286487,1.90803110745897,0.128027085639907,2.29534363144606,0.0566598382910933
"g__Flavisolibacter","k__Bacteria.p__Bacteroidetes.c__Chitinophagia.o__Chitinophagales.f__Chitinophagaceae.g__Flavisolibacter",2.12292950377906,0.0838727153869598,2.33534544917201,0.052877382953605,3.63392877182173,0.00685933255525502,3.63392877182173,0.00685933255525502
"g__Capnocytophaga","k__Bacteria.p__Bacteroidetes.c__Flavobacteriia.o__Flavobacteriales.f__Flavobacteriaceae.g__Capnocytophaga",0.552976505651427,0.156886722558635,0.6648945292749,0.324414058994994,0.736168296653122,0.457481567619961,0.679193863038286,0.350620468207501
"g__Candidatus_Stoquefichus","k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus",1.51845680833671,0.313739508716585,1.81460590115973,0.158302229949909,2.39871342393635,0.0438369437769226,2.57448876549885,0.0296745598246606
"g__Ilyobacter","k__Bacteria.p__Fusobacteria.c__Fusobacteriia.o__Fusobacteriales.f__Fusobacteriaceae.g__Ilyobacter",3.62790889796947,0.00636508036919456,4.97407183215492,0.00147343573753349,4.77343178340582,0.00194628655589421,6.5913463453741,0.000599451718510068
"g__Isosphaera","k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Isosphaeraceae.g__Isosphaera",2.72753169307354,0.025774198050287,4.92714763243967,0.00160894882349021,3.76151043149746,0.00512861913918602,6.96955399603396,0.000424375617219978
"g__Singulisphaera","k__Bacteria.p__Planctomycetes.c__Planctomycetia.o__Planctomycetales.f__Isosphaeraceae.g__Singulisphaera",3.18100405169187,0.0106506996181203,3.32171537576059,0.00811914659630513,3.30630246558375,0.00882663523448235,3.18100405169187,0.0106506996181203
"g__Micavibrio","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.g__Micavibrio",1.93924205224255,0.118826671421762,2.67678886653775,0.0247772656797601,3.52259825530425,0.00623029578643368,3.1039349975912,0.0122664717597486
