""	"Component"	"Collection"	"pathway"	"BG_genes"	"genes_in_pathway"	"genes_in_path_and_BG"	"genes_of_interest"	"genes_of_interest_in_pathway"	"gene_names_in_pathway"	"cont_n1"	"cont_n2"	"cont_n3"	"cont_n4"	"CI_95"	"odds_ratio"	"p_val"	"p_adj"
"120"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_RIBOSOME"	14267	106	85	10578	83	"FAU,MRPL13,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL22L1,RPL23,RPL23A,RPL24,RPL26,RPL26L1,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL36AL,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RSL24D1,UBA52"	83	10495	2	3687	"4.5094-Inf"	14.5781301446186	3.90650572893993e-09	1.22664279888714e-06
"37"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_DNA_REPLICATION"	14267	37	35	10578	35	"DNA2,FEN1,LIG1,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,PCNA,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,PRIM1,PRIM2,RFC1,RFC2,RFC3,RFC4,RFC5,RNASEH1,RNASEH2A,RNASEH2B,RNASEH2C,RPA1,RPA2,RPA3,SSBP1"	35	10543	0	3689	"3.9132-Inf"	Inf	2.79352850276998e-05	0.0041082111743498
"128"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_SPLICEOSOME"	14267	170	125	10578	111	"ACIN1,ALYREF,BCAS2,BUD31,CCDC12,CDC40,CHERP,CRNKL1,CTNNBL1,CWC15,DDX23,DDX39B,DDX42,DDX46,DDX5,DHX15,DHX16,DHX38,DHX8,EFTUD2,EIF4A3,HNRNPA1,HNRNPA1L2,HNRNPA3,HNRNPC,HNRNPK,HNRNPM,HNRNPU,HSPA1A,HSPA1B,HSPA6,HSPA8,ISY1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MAGOH,MAGOHB,NCBP1,NCBP2,PCBP1,PHF5A,PPIE,PPIH,PRPF18,PRPF19,PRPF3,PRPF31,PRPF38A,PRPF38B,PRPF4,PRPF40A,PRPF6,PUF60,RBM17,RBM22,RBM25,RBM8A,RBMX,SART1,SF3A1,SF3A2,SF3A3,SF3B1,SF3B2,SF3B3,SF3B4,SF3B5,SF3B6,SMNDC1,SNRNP200,SNRNP27,SNRNP40,SNRNP70,SNRPA,SNRPA1,SNRPB,SNRPB2,SNRPC,SNRPD1,SNRPD2,SNRPD3,SNRPE,SNRPF,SNRPG,SNU13,SNW1,SRSF1,SRSF10,SRSF2,SRSF3,SRSF4,SRSF5,SRSF6,SRSF7,SRSF9,SYF2,TCERG1,THOC1,THOC2,TRA2A,TRA2B,TXNL4A,U2AF2,U2SURP,USP39,XAB2"	111	10467	14	3675	"1.7175-Inf"	2.78377498535544	3.96466094333467e-05	0.0041082111743498
"1442"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION"	14267	46	43	10646	42	"ABAT,ACAA1,ACAD8,ACADM,ACADS,ACADSB,ACAT1,ACAT2,ALDH1B1,ALDH2,ALDH3A2,ALDH6A1,ALDH7A1,ALDH9A1,AOX1,AUH,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HADHB,HIBADH,HIBCH,HMGCL,HMGCS1,HMGCS2,HSD17B10,IL4I1,IVD,MCCC1,MCCC2,MCEE,MMUT,OXCT1,PCCA,PCCB"	42	10604	1	3620	"2.8883-Inf"	14.33677590387	5.23339003101885e-05	0.0041082111743498
"114"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_PYRIMIDINE_METABOLISM"	14267	109	88	10578	78	"AK3,CAD,CANT1,CDA,CMPK1,CTPS1,DCK,DCTD,DHODH,DPYD,DPYS,DTYMK,DUT,ENTPD1,ENTPD4,ENTPD6,ENTPD8,ITPA,NME1,NME1-NME2,NME2,NME5,NME6,NME7,NT5C,NT5C3A,NT5E,NT5M,NUDT2,PNP,PNPT1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2G,POLR2H,POLR2I,POLR2K,POLR2L,POLR3A,POLR3C,POLR3D,POLR3F,POLR3GL,POLR3H,POLR3K,PRIM1,PRIM2,RRM1,RRM2,RRM2B,TK1,TXNRD2,TYMP,TYMS,UCK1,UCK2,UCKL1,UMPS,UPP1,UPRT"	78	10500	10	3679	"1.5404-Inf"	2.73299525305424	0.000653754934040483	0.0410558098577423
"271"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_PDGFRB_PATHWAY"	14267	136	123	10578	106	"ABI1,ABL1,ACTA2,ACTN4,ACTR2,ACTR3,AFDN,ARAP1,ARHGAP35,ARHGDIA,ARPC1B,ARPC2,ARPC3,ARPC4,ARPC5,BCAR1,BRAF,BRK1,CBL,CRK,CSK,CTTN,DOCK4,DOK1,EIF2AK2,EPS8,FGR,FOS,FYN,GRB2,HCK,HRAS,IQGAP1,ITGAV,JAK2,JUN,JUND,KRAS,KSR1,LCK,LRP1,LYN,MAP2K1,MAP2K2,MAP2K7,MAPK1,MAPK10,MAPK3,MAPK8,MYC,NCK1,NCK2,NCKAP1,NRAS,PAG1,PAK1,PDGFB,PDGFRB,PIK3CA,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PIN1,PLA2G4A,PLCG1,PPP2R2B,PRKCA,PRKCD,PTEN,PTPN1,PTPN2,PTPRJ,RAB4A,RAB5A,RAC1,RAF1,RAP1B,RAPGEF1,RHOA,RPS6KA3,S1PR1,SFN,SHC1,SIPA1,SLA,SLC9A3R1,SLC9A3R2,SOS1,SPHK1,SRC,SRF,STAT1,STAT3,STAT5B,TAGLN,USP6NL,VAV2,WASF2,YES1,YWHAB,YWHAE,YWHAH,YWHAQ,YWHAZ"	106	10472	17	3672	"1.3999-Inf"	2.18639183075097	0.000880013566280913	0.0460540433020345
"186"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_E2F_PATHWAY"	14267	78	71	10578	63	"APAF1,ATM,BRCA1,CASP7,CBX5,CCNA2,CCND3,CCNE1,CDC25A,CDC6,CDK1,CDK2,CDKN1A,CDKN2A,CEBPA,CES1,CES2,CES4A,CES5A,DHFR,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,E2F7,EP300,HBP1,HDAC1,HIC1,KAT2A,KAT2B,MCL1,MCM3,MYBL2,MYC,ORC1,PLAU,POLA1,PRMT5,RANBP1,RB1,RBBP4,RBBP8,RBL1,RRM1,RRM2,RYBP,SERPINE1,SIRT1,SMARCA2,SP1,TFDP1,TFDP2,TK1,TOPBP1,TP73,TRIM28,TYMS,WASF1,XRCC1,YY1"	63	10515	8	3681	"1.4516-Inf"	2.75682958024777	0.00204595823904992	0.0760572031967838
"3002"	"gene_taxa_component_2.txt"	"C2_CP"	"PID_TELOMERASE_PATHWAY"	14267	72	61	10646	55	"ABL1,ACD,AKT1,ATM,CCND1,CDKN1B,DKC1,EGF,EGFR,FOS,HDAC1,HDAC2,HNRNPC,HSP90AA1,HUS1,IRF1,MAPK1,MAPK3,MRE11,MTOR,MYC,NBN,NCL,NFKB1,NR2F2,PARP2,PINX1,POT1,PTGES3,RAD1,RAD50,RAD9A,RBBP4,RBBP7,RPS6KB1,SAP18,SAP30,SIN3A,SIN3B,SMAD3,SMG5,SMG6,SP1,SP3,TERF1,TERF2IP,TERT,TGFB1,TINF2,TNKS,UBE3A,WRN,XRCC5,XRCC6,ZNFX1"	55	10591	6	3615	"1.5028-Inf"	3.12879395871667	0.00209882372419019	0.0760572031967838
"3041"	"gene_taxa_component_10.txt"	"C2_CP"	"PID_THROMBIN_PAR1_PATHWAY"	14267	44	41	11032	39	"AKAP13,ARHGDIA,ARHGEF1,ARRB1,DNM1,DNM2,F2R,F2RL2,GNA11,GNA12,GNA13,GNA14,GNA15,GNAI1,GNAI2,GNAO1,GNAQ,GNAZ,GNB1,GNG2,GRK3,MYL2,NOS3,PIK3CA,PIK3R1,PKN1,PLCB1,PLCB2,PRKCA,PRKCB,PRKCD,RHOA,ROCK1,ROCK2,SNX1,SNX2,TRPC6,VASP,ZYX"	39	10993	2	3233	"1.7228-Inf"	5.7345047422551	0.00217998353111801	0.0760572031967838
"2512"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_BUTANOATE_METABOLISM"	14267	35	28	10646	27	"AACS,ABAT,ACADS,ACAT1,ACAT2,ACSM1,ACSM3,AKR1B10,ALDH1B1,ALDH2,ALDH3A2,ALDH5A1,ALDH7A1,ALDH9A1,BDH1,BDH2,ECHS1,EHHADH,HADH,HADHA,HMGCL,HMGCS1,HMGCS2,L2HGDH,OXCT1,PDHA1,PDHB"	27	10619	1	3620	"1.8085-Inf"	9.2035490091646	0.00287838169952101	0.0803266848960043
