""	"Component"	"Collection"	"pathway"	"BG_genes"	"genes_in_pathway"	"genes_in_path_and_BG"	"genes_of_interest"	"genes_of_interest_in_pathway"	"gene_names_in_pathway"	"cont_n1"	"cont_n2"	"cont_n3"	"cont_n4"	"CI_95"	"odds_ratio"	"p_val"	"p_adj"
"31"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES"	14267	94	47	239	13	"C1R,C1S,C3,C4A,C4B,C6,C7,CFB,FGG,MASP1,PROS1,TFPI,THBD"	13	226	34	13994	"12.694-Inf"	23.6460291620651	5.01426457244474e-13	1.80513524608011e-11
"10"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"	14267	264	75	239	11	"C1R,C1S,C3,C4A,C4B,C6,C7,CTSG,HLA-DQA1,HLA-DRA,HLA-DRB5"	11	228	64	13964	"5.5815-Inf"	10.5226026394576	4.41639118249844e-08	7.94950412849719e-07
"9"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_RETINOL_METABOLISM"	14267	71	26	239	6	"ADH1B,ADH1C,ADH4,ADH6,ALDH1A1,DHRS3"	6	233	20	14008	"7.0318-Inf"	18.0200379307961	3.60847582185405e-06	4.33017098622486e-05
"35"	"gene_taxa_component_7.txt"	"C2_CP"	"KEGG_CARDIAC_MUSCLE_CONTRACTION"	14267	83	48	347	7	"ATP1A3,CACNA2D3,COX4I1,COX7C,UQCR11,UQCRFS1,UQCRQ"	7	340	41	13879	"3.0747-Inf"	6.96647093847751	0.000147924333766826	0.00094446645154109
"33"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	14267	292	126	180	8	"CHRM4,CHRNE,DRD4,GRIN1,GRIN3B,HTR1E,KISS1R,VIPR2"	8	172	118	13969	"2.6447-Inf"	5.50448804543067	0.000194574730198578	0.00094446645154109
"14"	"gene_taxa_component_10.txt"	"C2_CP"	"PID_SHP2_PATHWAY"	14267	59	51	239	6	"ANGPT1,IL2RB,IL2RG,IL6ST,JAK1,SDC2"	6	233	45	13983	"3.2937-Inf"	7.99853382194168	0.000198961398213567	0.00094446645154109
"11"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_TYROSINE_METABOLISM"	14267	44	33	239	5	"ADH1B,ADH1C,ADH4,ADH6,DDC"	5	234	28	14000	"3.8977-Inf"	10.6804185136448	0.000204685250264439	0.00094446645154109
"62"	"gene_taxa_component_3.txt"	"C2_CP"	"PID_AP1_PATHWAY"	14267	79	60	207	6	"CCN1,ETS1,FOSB,FOSL1,MMP1,TH"	6	201	54	14006	"3.2068-Inf"	7.73957254839915	0.000226239261823596	0.00094446645154109
"72"	"gene_taxa_component_3.txt"	"C2_CP"	"PID_INTEGRIN3_PATHWAY"	14267	43	39	207	5	"CCN1,COL4A1,IBSP,SPHK1,THBS1"	5	202	34	14026	"3.7633-Inf"	10.2069310426692	0.000236116612885272	0.00094446645154109
"18"	"gene_taxa_component_5.txt"	"C2_CP"	"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	14267	65	45	186	5	"CHP2,GRIN1,MAPK11,MAPK12,NEFH"	5	181	40	14041	"3.5993-Inf"	9.6919796766148	0.000285676458890564	0.00102843525200603
