""	"Component"	"Collection"	"pathway"	"BG_genes"	"genes_in_pathway"	"genes_in_path_and_BG"	"genes_of_interest"	"genes_of_interest_in_pathway"	"gene_names_in_pathway"	"cont_n1"	"cont_n2"	"cont_n3"	"cont_n4"	"CI_95"	"odds_ratio"	"p_val"	"p_adj"
"4"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_SPLICEOSOME"	14267	170	125	232	16	"ALYREF,HNRNPA3,HNRNPM,HNRNPU,PRPF40A,RBM8A,SART1,SF3B2,SF3B6,SNRPC,SNRPD1,SNRPE,SRSF2,SRSF3,SRSF7,USP39"	16	216	109	13926	"5.6667-Inf"	9.45866247247799	1.8464209871572e-10	6.4624734550502e-09
"21"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_ASTHMA"	14267	113	15	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	10	14012	"9.5546-Inf"	29.1531858324929	3.74071749242115e-06	6.546255611737e-05
"23"	"gene_taxa_component_3.txt"	"C2_CP"	"KEGG_CHEMOKINE_SIGNALING_PATHWAY"	14267	214	154	221	11	"ADCY4,ARRB2,CCL18,CCL23,CXCL1,CXCL2,CXCL3,CXCL5,CXCR1,FGR,PF4"	11	210	143	13903	"2.7614-Inf"	5.09106777371266	2.7764162642936e-05	0.000182064535233426
"11"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_ALLOGRAFT_REJECTION"	14267	157	22	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	17	14005	"6.0115-Inf"	17.1492143994283	2.97291306383915e-05	0.000182064535233426
"31"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_AUTOIMMUNE_THYROID_DISEASE"	14267	166	22	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	17	14005	"6.0115-Inf"	17.1492143994283	2.97291306383915e-05	0.000182064535233426
"25"	"gene_taxa_component_5.txt"	"C2_CP"	"PID_HNF3B_PATHWAY"	14267	48	29	184	5	"ALDOB,CEBPA,HNF1A,HNF4A,IGFBP1"	5	179	24	14059	"5.8902-Inf"	16.349678830254	3.1211063182873e-05	0.000182064535233426
"51"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION"	14267	125	26	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	21	14001	"4.9604-Inf"	13.8833296692734	7.02084559959292e-05	0.000351042279979646
"8"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_TYPE_I_DIABETES_MELLITUS"	14267	170	27	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	22	14000	"4.753-Inf"	13.2518789290719	8.49657276275347e-05	0.000371725058370464
"15"	"gene_taxa_component_5.txt"	"C2_CP"	"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450"	14267	75	39	184	5	"ALDH3B2,CYP1B1,CYP3A5,GSTA2,UGT2A3"	5	179	34	14049	"4.2487-Inf"	11.5313782247557	0.000136321298230968	0.00053013838200932
"41"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_CELL_ADHESION_MOLECULES_CAMS"	14267	255	96	245	8	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1,NECTIN3,NLGN2,NLGN3"	8	237	88	13934	"2.5594-Inf"	5.34390665106346	0.000243527969076239	0.000804181542404266
"14"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS"	14267	65	45	187	5	"CHP2,GRIN1,MAPK11,MAPK12,NEFH"	5	182	40	14040	"3.5795-Inf"	9.63797968248339	0.000292840063099561	0.000804181542404266
"32"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS"	14267	139	129	238	9	"BIRC6,FBXW11,HERC1,HUWE1,KLHL9,MAP3K1,PIAS1,UBE3C,XIAP"	9	229	120	13909	"2.2989-Inf"	4.55441370706217	0.000310546477713927	0.000804181542404266
"71"	"gene_taxa_component_3.txt"	"C2_CP"	"PID_INTEGRIN3_PATHWAY"	14267	43	39	221	5	"CCN1,COL4A1,IBSP,SPHK1,THBS1"	5	216	34	14012	"3.5183-Inf"	9.53397564798384	0.000319517240489302	0.000804181542404266
"62"	"gene_taxa_component_3.txt"	"C2_CP"	"PID_AP1_PATHWAY"	14267	79	60	221	6	"CCN1,ETS1,FOSB,FOSL1,MMP1,TH"	6	215	54	13992	"2.9969-Inf"	7.22966771181588	0.000321672616961706	0.000804181542404266
"2"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_PYRIMIDINE_METABOLISM"	14267	109	88	232	7	"POLA2,POLD3,POLR2G,POLR3C,PRIM2,RRM1,TYMS"	7	225	81	13954	"2.4193-Inf"	5.35824416863198	0.000570335712258699	0.00133078332860363
"43"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_LONG_TERM_POTENTIATION"	14267	74	56	187	5	"ARAF,CHP2,GRIN1,PLCB3,PPP1R1A"	5	182	51	14029	"2.8341-Inf"	7.55460026529571	0.000815122803894721	0.0017830811335197
"53"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION"	14267	292	126	187	7	"CHRM4,CHRNE,DRD4,GRIN1,GRIN3B,KISS1R,VIPR2"	7	180	119	13961	"2.0727-Inf"	4.5616074770599	0.00135159081596286	0.00278268697404119
