category,pathway,pathway_new
Global,Metabolic pathways,KEGG_METABOLIC_PATHWAYS
Global,Biosynthesis of secondary metabolites,KEGG_BIOSYNTHESIS_OF_SECONDARY_METABOLITES
Global,Microbial metabolism in diverse environments,KEGG_MICROBIAL_METABOLISM_IN_DIVERSE_ENVIRONMENTS
Global,Carbon metabolism,KEGG_CARBON_METABOLISM
Global,2-Oxocarboxylic acid metabolism,KEGG_2_OXOCARBOXYLIC_ACID_METABOLISM
Global,Fatty acid metabolism,KEGG_FATTY_ACID_METABOLISM
Global,Biosynthesis of amino acids,KEGG_BIOSYNTHESIS_OF_AMINO_ACIDS
Global,Nucleotide metabolism,KEGG_NUCLEOTIDE_METABOLISM
Global,Biosynthesis of nucleotide sugars,KEGG_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS
Global,Biosynthesis of cofactors,KEGG_BIOSYNTHESIS_OF_COFACTORS
Global,Degradation of aromatic compounds,KEGG_DEGRADATION_OF_AROMATIC_COMPOUNDS
Global,Nitrogen cycle,KEGG_NITROGEN_CYCLE
Carbohydrate,Glycolysis / Gluconeogenesis,KEGG_GLYCOLYSIS_GLUCONEOGENESIS
Carbohydrate,Citrate cycle (TCA cycle),KEGG_CITRATE_CYCLE_TCA_CYCLE
Carbohydrate,Pentose phosphate pathway,KEGG_PENTOSE_PHOSPHATE_PATHWAY
Carbohydrate,Pentose and glucuronate interconversions,KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS
Carbohydrate,Fructose and mannose metabolism,KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM
Carbohydrate,Galactose metabolism,KEGG_GALACTOSE_METABOLISM
Carbohydrate,Ascorbate and aldarate metabolism,KEGG_ASCORBATE_AND_ALDARATE_METABOLISM
Carbohydrate,Starch and sucrose metabolism,KEGG_STARCH_AND_SUCROSE_METABOLISM
Carbohydrate,Amino sugar and nucleotide sugar metabolism,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM
Carbohydrate,Biosynthesis of various nucleotide sugars,KEGG_BIOSYNTHESIS_OF_VARIOUS_NUCLEOTIDE_SUGARS
Carbohydrate,Pyruvate metabolism,KEGG_PYRUVATE_METABOLISM
Carbohydrate,Glyoxylate and dicarboxylate metabolism,KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM
Carbohydrate,Propanoate metabolism,KEGG_PROPANOATE_METABOLISM
Carbohydrate,Butanoate metabolism,KEGG_BUTANOATE_METABOLISM
Carbohydrate,C5-Branched dibasic acid metabolism,KEGG_C5_BRANCHED_DIBASIC_ACID_METABOLISM
Carbohydrate,Inositol phosphate metabolism,KEGG_INOSITOL_PHOSPHATE_METABOLISM
Energy,Oxidative phosphorylation,KEGG_OXIDATIVE_PHOSPHORYLATION
Energy,Photosynthesis,KEGG_PHOTOSYNTHESIS
Energy,Photosynthesis - antenna proteins,KEGG_PHOTOSYNTHESIS_ANTENNA_PROTEINS
Energy,Carbon fixation by Calvin cycle,KEGG_CARBON_FIXATION_BY_CALVIN_CYCLE
Energy,Other carbon fixation pathways,KEGG_OTHER_CARBON_FIXATION_PATHWAYS
Energy,Methane metabolism,KEGG_METHANE_METABOLISM
Energy,Nitrogen metabolism,KEGG_NITROGEN_METABOLISM
Energy,Sulfur metabolism,KEGG_SULFUR_METABOLISM
Lipid,Fatty acid biosynthesis,KEGG_FATTY_ACID_BIOSYNTHESIS
Lipid,Fatty acid elongation,KEGG_FATTY_ACID_ELONGATION
Lipid,Fatty acid degradation,KEGG_FATTY_ACID_DEGRADATION
Lipid,"Cutin, suberine and wax biosynthesis",KEGG_CUTIN_SUBERINE_AND_WAX_BIOSYNTHESIS
Lipid,Mycolic acid biosynthesis,KEGG_MYCOLIC_ACID_BIOSYNTHESIS
Lipid,Steroid biosynthesis,KEGG_STEROID_BIOSYNTHESIS
Lipid,Primary bile acid biosynthesis,KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS
Lipid,Secondary bile acid biosynthesis,KEGG_SECONDARY_BILE_ACID_BIOSYNTHESIS
Lipid,Steroid hormone biosynthesis,KEGG_STEROID_HORMONE_BIOSYNTHESIS
Lipid,Glycerolipid metabolism,KEGG_GLYCEROLIPID_METABOLISM
Lipid,Glycerophospholipid metabolism,KEGG_GLYCEROPHOSPHOLIPID_METABOLISM
Lipid,Ether lipid metabolism,KEGG_ETHER_LIPID_METABOLISM
Lipid,Sphingolipid metabolism,KEGG_SPHINGOLIPID_METABOLISM
Lipid,Arachidonic acid metabolism,KEGG_ARACHIDONIC_ACID_METABOLISM
